SEF	1.0.0
ID	MountForestCanada
Name	MountForest
Lat	44.01
Lon	279.11
Alt	137.16
Source	ODR
Link	https://opendatarescue.org
Vbl	rh
Stat	point
Unit	%
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1872	05	01	12	00	0	90.00	|	orig=.90 p|Local time: 0700|QC flag: multiply by 100|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	01	19	00	0	1.01	|	orig=1.01 p|Local time: 1400|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	02	02	00	0	78.00	|	orig=.78 p|Local time: 2100|QC flag: multiply by 100|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	02	12	00	0	76.00	|	orig=.76 p|Local time: 0700|QC flag: multiply by 100|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	02	19	00	0	88.00	|	orig=.88 p|Local time: 1400|QC flag: multiply by 100|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	03	02	00	0	93.00	|	orig=.93 p|Local time: 2100|QC flag: multiply by 100|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	03	12	00	0	46.00	|	orig=.46 p|Local time: 0700|QC flag: multiply by 100|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	03	19	00	0	50.00	|	orig=.50 p|Local time: 1400|QC flag: multiply by 100|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	04	02	00	0	92.00	|	orig=.92 p|Local time: 2100|QC flag: multiply by 100|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	04	12	00	0	60.00	|	orig=.60 p|Local time: 0700|QC flag: multiply by 100|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	04	19	00	0	94.00	|	orig=.94 p|Local time: 1400|QC flag: multiply by 100|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	05	02	00	0	1.01	|	orig=1.01 p|Local time: 2100|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	05	12	00	0	70.00	|	orig=.70 p|Local time: 0700|QC flag: multiply by 100|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	05	19	00	0	89.00	|	orig=.89 p|Local time: 1400|QC flag: multiply by 100|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	06	02	00	0	97.00	|	orig=.97 p|Local time: 2100|QC flag: multiply by 100|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	06	12	00	0	84.00	|	orig=.84 p|Local time: 0700|QC flag: multiply by 100|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	06	19	00	0	97.00	|	orig=.97 p|Local time: 1400|QC flag: multiply by 100|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	07	02	00	0	95.00	|	orig=.95 p|Local time: 2100|QC flag: multiply by 100|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
