SEF	1.0.0
ID	MountForestCanada
Name	MountForest
Lat	44.01
Lon	279.11
Alt	137.16
Source	ODR
Link	https://opendatarescue.org
Vbl	w
Stat	point
Unit	mps
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1872	05	01	12	00	0	11	|	orig=4 Sm|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	01	19	00	0	5	|	orig=3 Sm|Local time: 1400|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	02	02	00	0	2	|	orig=2 Sm|Local time: 2100|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	02	12	00	0	5	|	orig=3 Sm|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	02	19	00	0	5	|	orig=3 Sm|Local time: 1400|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	03	02	00	0	5	|	orig=3 Sm|Local time: 2100|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	03	12	00	0	1	|	orig=1 Sm|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	03	19	00	0	5	|	orig=3 Sm|Local time: 1400|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	04	02	00	0	-999	|	orig=4 & 5 Sm|Local time: 2100|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	04	12	00	0	2	|	orig=2 Sm|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	04	19	00	0	5	|	orig=3 Sm|Local time: 1400|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	05	02	00	0	2	|	orig=2 Sm|Local time: 2100|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	05	12	00	0	1	|	orig=1 Sm|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	05	19	00	0	1	|	orig=1 Sm|Local time: 1400|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	06	02	00	0	1	|	orig=1 Sm|Local time: 2100|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	06	12	00	0	0	|	orig=0 Sm|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	06	19	00	0	1	|	orig=1 Sm|Local time: 1400|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	07	02	00	0	0	|	orig=0 Sm|Local time: 2100|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	07	12	00	0	1	|	orig=1 Sm|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	07	19	00	0	2	|	orig=2 Sm|Local time: 1400|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	08	02	00	0	1	|	orig=1 Sm|Local time: 2100|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	08	12	00	0	1	|	orig=1 Sm|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	08	19	00	0	1	|	orig=1 Sm|Local time: 1400|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
