SEF	1.0.0
ID	NewWestminsterCanada
Name	NewWestminster
Lat	49.213
Lon	237.1
Alt	10.36
Source	ODR
Link	https://opendatarescue.org
Vbl	Tn
Stat	point
Unit	C
Meta		UTCOffset=Applied	UTCOffset=8
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1865	01	01	08	00	0	0.11	|	orig=32.2 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	02	08	00	0	1.67	|	orig=35.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	03	08	00	0	-0.28	|	orig=31.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	04	08	00	0	0.78	|	orig=33.4 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	05	08	00	0	-0.44	|	orig=31.2 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	06	08	00	0	-0.56	|	orig=31.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	07	08	00	0	-1.72	|	orig=28.9 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	08	08	00	0	-3.89	|	orig=25.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	09	08	00	0	-1.78	|	orig=28.8 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	10	08	00	0	-0.22	|	orig=31.6 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	11	08	00	0	-3.72	|	orig=25.3 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	12	08	00	0	-2.89	|	orig=26.8 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	13	08	00	0	-0.89	|	orig=30.4 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	14	08	00	0	-2.89	|	orig=26.8 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	15	08	00	0	-0.56	|	orig=31.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	16	08	00	0	1.11	|	orig=34.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	17	08	00	0	1.67	|	orig=35.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	18	08	00	0	-0.61	|	orig=30.9 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	19	08	00	0	-3.33	|	orig=26.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	20	08	00	0	-4.44	|	orig=24.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	21	08	00	0	-4.17	|	orig=24.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	22	08	00	0	-7.67	|	orig=18.2 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	23	08	00	0	-8.17	|	orig=17.3 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	24	08	00	0	-8.67	|	orig=16.4 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	25	08	00	0	-7.06	|	orig=19.3 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	26	08	00	0	-5.56	|	orig=22.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	27	08	00	0	-3.06	|	orig=26.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	28	08	00	0	-0.61	|	orig=30.9 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	29	08	00	0	-1.11	|	orig=30.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	30	08	00	0	-0.72	|	orig=30.7 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	02	01	08	00	0	1.11	|	orig=34.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	02	08	00	0	-1.89	|	orig=28.6 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	03	08	00	0	-2.28	|	orig=27.9 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	04	08	00	0	-2.83	|	orig=26.9 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	05	08	00	0	-3.50	|	orig=25.7 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	06	08	00	0	-3.44	|	orig=25.8 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	07	08	00	0	-3.89	|	orig=25.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	08	08	00	0	-2.67	|	orig=27.2 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	09	08	00	0	-1.78	|	orig=28.8 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	10	08	00	0	0.00	|	orig=32.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	11	08	00	0	1.00	|	orig=33.8 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	12	08	00	0	1.56	|	orig=34.8 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	13	08	00	0	-1.39	|	orig=29.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	14	08	00	0	-1.39	|	orig=29.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	15	08	00	0	-0.28	|	orig=31.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	16	08	00	0	-2.00	|	orig=28.4 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	17	08	00	0	-0.28	|	orig=31.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	18	08	00	0	-1.39	|	orig=29.5 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	19	08	00	0	-1.78	|	orig=28.8 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	20	08	00	0	-2.33	|	orig=27.8 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	21	08	00	0	-4.44	|	orig=24.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	22	08	00	0	-4.33	|	orig=24.2 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	23	08	00	0	-1.11	|	orig=30.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	24	08	00	0	-3.44	|	orig=25.8 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	26	08	00	0	-1.11	|	orig=30.0 F|Local time: 0000|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
