SEF	1.0.0
ID	NiagaraCanada
Name	Niagara
Lat	43.15
Lon	281.67
Alt	82.3
Source	ODR
Link	https://opendatarescue.org
Vbl	p
Stat	mean
Unit	hPa
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1861	02	01	00	00	24	1001.65	|	orig=29.5786 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	02	00	00	24	997.13	|	orig=29.4453 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	03	00	00	24	-999	|	orig=Empty inHg|Local time: mean|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	04	00	00	24	1012.02	|	orig=29.8850 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	05	00	00	24	1009.80	|	orig=29.8195 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	06	00	00	24	992.92	|	orig=29.3210 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	07	00	00	24	993.79	|	orig=29.3465 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	08	00	00	24	1022.57	|	orig=30.1966 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	09	00	00	24	1017.97	|	orig=30.0606 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	10	00	00	24	-999	|	orig=Empty inHg|Local time: mean|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	11	00	00	24	1001.32	|	orig=29.5690 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	12	00	00	24	996.11	|	orig=29.4150 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	13	00	00	24	1011.63	|	orig=29.8733 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	14	00	00	24	1008.17	|	orig=29.7713 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	15	00	00	24	990.48	|	orig=29.2490 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	16	00	00	24	996.18	|	orig=29.4173 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	17	00	00	24	-999	|	orig=Empty inHg|Local time: mean|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	18	00	00	24	1003.73	|	orig=29.6400 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	19	00	00	24	1000.12	|	orig=29.5336 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	20	00	00	24	992.19	|	orig=29.2993 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	21	00	00	24	1004.13	|	orig=29.6520 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	22	00	00	24	1009.40	|	orig=29.8076 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	23	00	00	24	991.21	|	orig=29.2703 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	24	00	00	24	-999	|	orig=Empty inHg|Local time: mean|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	25	00	00	24	1009.88	|	orig=29.8216 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	26	00	00	24	1010.07	|	orig=29.8273 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	27	00	00	24	990.38	|	orig=29.246 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	28	00	00	24	1008.30	|	orig=29.7750 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	03	01	00	00	24	1003.93	|	orig=29.6460 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	02	00	00	24	998.28	|	orig=29.4793 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	03	00	00	24	-999	|	orig=Empty inHg|Local time: mean|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	04	00	00	24	998.78	|	orig=29.4940 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	05	00	00	24	1007.34	|	orig=29.7466 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	06	00	00	24	1004.66	|	orig=29.6676 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	07	00	00	24	1021.05	|	orig=30.1516 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	08	00	00	24	1002.03	|	orig=29.5900 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	09	00	00	24	996.62	|	orig=29.4303 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	10	00	00	24	-999	|	orig=Empty inHg|Local time: mean|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	11	00	00	24	1012.84	|	orig=29.9090 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	12	00	00	24	1007.39	|	orig=29.7483 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	13	00	00	24	1010.55	|	orig=29.8416 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	14	00	00	24	1013.12	|	orig=29.9173 inHg|Local time: mean|QC flag: none|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
