SEF	1.0.0
ID	PictouCanada
Name	Pictou
Lat	45.678
Lon	297.294
Alt	39.624
Source	ODR
Link	https://opendatarescue.org
Vbl	sd
Stat	point
Unit	mm
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1872	01	06	00	00	24	19.05	|	orig=0.75 in|Local time: daily|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	10	00	00	24	25.40	|	orig=1.00 in|Local time: daily|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	17	00	00	24	82.55	|	orig=3.25 in|Local time: daily|QC flag: high value|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	19	00	00	24	88.90	|	orig=3.50 in|Local time: daily|QC flag: high value|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	20	00	00	24	63.50	|	orig=2.50 in|Local time: daily|QC flag: high value|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	24	00	00	24	88.90	|	orig=3.50 in|Local time: daily|QC flag: high value|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	29	00	00	24	31.75	|	orig=1.25 in|Local time: daily|QC flag: high value|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	02	01	00	00	24	-999	|	orig=- in|Local time: daily|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	02	00	00	24	-999	|	orig=- in|Local time: daily|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	03	00	00	24	-999	|	orig=- in|Local time: daily|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	04	00	00	24	88.90	|	orig=3.50 in|Local time: daily|QC flag: high value|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	05	00	00	24	-999	|	orig=- in|Local time: daily|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
