SEF	1.0.0
ID	PictouCanada
Name	Pictou
Lat	45.678
Lon	297.294
Alt	39.624
Source	ODR
Link	https://opendatarescue.org
Vbl	stb
Stat	point
Unit	hour
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1872	01	06	00	00	24	1:30pm	|	orig=1:30pm hr|Local time: mean|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	10	00	00	24	7am	|	orig=7am hr|Local time: mean|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	17	00	00	24	9am	|	orig=9am hr|Local time: mean|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	19	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	20	00	00	24	4am	|	orig=4am hr|Local time: mean|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	24	00	00	24	10:30am	|	orig=10:30am hr|Local time: mean|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	29	00	00	24	3am	|	orig=3am hr|Local time: mean|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	02	01	00	00	24	-999	|	orig=- hr|Local time: mean|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	02	00	00	24	-999	|	orig=- hr|Local time: mean|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	03	00	00	24	-999	|	orig=- hr|Local time: mean|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	04	00	00	24	1 am | 3 am	|	orig=1 am | 3 am hr|Local time: mean|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	05	00	00	24	-999	|	orig=- hr|Local time: mean|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	06	00	00	24	-999	|	orig=- hr|Local time: mean|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	07	00	00	24	-999	|	orig=- hr|Local time: mean|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	08	00	00	24	-999	|	orig=- hr|Local time: mean|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	09	00	00	24	-999	|	orig=- hr|Local time: mean|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	10	00	00	24	-999	|	orig=- hr|Local time: mean|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	11	00	00	24	-999	|	orig=- hr|Local time: mean|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	12	00	00	24	6 pm | 11 pm | 1 am	|	orig=6 pm | 11 pm | 1 am hr|Local time: mean|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	13	00	00	24	-999	|	orig=- hr|Local time: mean|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	14	00	00	24	-999	|	orig=- hr|Local time: mean|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	15	00	00	24	3 am | 5 am	|	orig=3 am | 5 am hr|Local time: mean|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
