SEF	1.0.0
ID	PictouCanada
Name	Pictou
Lat	45.678
Lon	297.294
Alt	39.624
Source	ODR
Link	https://opendatarescue.org
Vbl	pr
Stat	point
Unit	mm
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1872	01	04	04	00	0	2.41	|	orig=0.095 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	04	04	00	0	2.41	|	orig=0.095 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	05	04	00	0	5.21	|	orig=0.205 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	05	04	00	0	5.21	|	orig=0.205 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	06	04	00	0	13.46	|	orig=0.530 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	06	04	00	0	15.24	|	orig=0.600 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	10	04	00	0	2.29	|	orig=0.090 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	12	04	00	0	3.30	|	orig=0.130 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	12	04	00	0	3.30	|	orig=0.130 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	17	04	00	0	4.19	|	orig=0.165 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	17	04	00	0	48.26	|	orig=1.900 in|Local time: 0000|QC flag: high value|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	19	04	00	0	9.14	|	orig=0.360 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	20	04	00	0	7.37	|	orig=0.290 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	20	04	00	0	79.50	|	orig=3.130 in|Local time: 0000|QC flag: high value|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	22	04	00	0	0.51	|	orig=0.020 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	23	04	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	23	04	00	0	5.08	|	orig=0.200 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	24	04	00	0	10.16	|	orig=0.400 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	29	04	00	0	2.54	|	orig=0.100 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	02	01	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	01	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	02	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	02	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	03	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	03	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	04	04	00	0	29.21	|	orig=1.15 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	04	04	00	0	5.08	|	orig=.200 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	05	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	05	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	06	04	00	0	2.03	|	orig=.080 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	06	04	00	0	2.03	|	orig=0.080 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	07	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	07	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	08	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	08	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	09	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	09	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	10	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	10	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	11	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	11	04	00	0	9.14	|	orig=.360 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	12	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	12	04	00	0	4.83	|	orig=.190 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	13	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	13	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	14	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	14	04	00	0	4.57	|	orig=.180 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	15	04	00	0	2.54	|	orig=.100 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	15	04	00	0	20.32	|	orig=.800 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	16	04	00	0	10.92	|	orig=.430 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	16	04	00	0	5.08	|	orig=.200 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	17	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	17	04	00	0	2.54	|	orig=0.100 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	18	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	18	04	00	0	0.76	|	orig=0.030 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	19	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	19	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	20	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	20	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	21	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	21	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	22	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	22	04	00	0	0.76	|	orig=0.030 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	23	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	23	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	24	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	24	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	25	04	00	0	7.37	|	orig=.290 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	25	04	00	0	7.37	|	orig=0.290 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	26	04	00	0	3.05	|	orig=.120 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	26	04	00	0	3.68	|	orig=0.145 in|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	27	04	00	0	-999	|	orig=- in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	27	04	00	0	-999	|	orig=0.040 | 0.115 in|Local time: 0000|QC flag: missing|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
