SEF	1.0.0
ID	PictouCanada
Name	Pictou
Lat	45.678
Lon	297.294
Alt	39.624
Source	ODR
Link	https://opendatarescue.org
Vbl	r
Stat	point
Unit	none
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1872	01	04	04	00	0	4.00	|	orig=4.00 text|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	05	04	00	0	4.00	|	orig=4.00 text|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	06	04	00	0	12.00	|	orig=12.00 text|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	12	04	00	0	2.33	|	orig=2.33 text|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	17	04	00	0	4.00	|	orig=4.00 text|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	20	04	00	0	4.00	|	orig=4.00 text|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	22	04	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	01	23	04	00	0	0.50	|	orig=0.50 text|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-2.jpg
1872	02	01	04	00	0	-999	|	orig=- text|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	02	04	00	0	-999	|	orig=- text|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	03	04	00	0	-999	|	orig=- text|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	04	04	00	0	3.00	|	orig=3.00 text|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	05	04	00	0	-999	|	orig=- text|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	06	04	00	0	2.00	|	orig=2.00 text|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	07	04	00	0	-999	|	orig=- text|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	08	04	00	0	-999	|	orig=- text|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	09	04	00	0	-999	|	orig=- text|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	10	04	00	0	-999	|	orig=- text|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
1872	02	11	04	00	0	-999	|	orig=- text|Local time: 0000|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-02-01_OBS-2.jpg
