SEF	1.0.0
ID	PictouCanada
Name	Pictou
Lat	45.678
Lon	297.294
Alt	39.624
Source	ODR
Link	https://opendatarescue.org
Vbl	ta
Stat	point
Unit	C
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1872	01	01	11	00	0	5.83	|	orig=42.5 F|Local time: 0700|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-1.jpg
1872	01	01	18	00	0	-2.22	|	orig=28.0 F|Local time: 1400|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-1.jpg
1872	01	02	01	00	0	-5.28	|	orig=22.5 F|Local time: 2100|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-1.jpg
1872	01	02	11	00	0	-13.17	|	orig=8.3 F|Local time: 0700|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-1.jpg
1872	01	02	18	00	0	-11.94	|	orig=10.5 F|Local time: 1400|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-1.jpg
1872	01	03	01	00	0	-13.89	|	orig=7.0 F|Local time: 2100|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-1.jpg
1872	01	03	11	00	0	-15.17	|	orig=4.7 F|Local time: 0700|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-1.jpg
1872	01	03	18	00	0	-9.44	|	orig=15.0 F|Local time: 1400|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-1.jpg
1872	01	04	01	00	0	-11.11	|	orig=12.0 F|Local time: 2100|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-1.jpg
1872	01	04	11	00	0	-9.44	|	orig=15.0 F|Local time: 0700|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-1.jpg
1872	01	04	18	00	0	-1.00	|	orig=30.2 F|Local time: 1400|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-1.jpg
1872	01	05	01	00	0	3.89	|	orig=39.0 F|Local time: 2100|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-1.jpg
1872	01	05	11	00	0	5.56	|	orig=42.0 F|Local time: 0700|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-1.jpg
1872	01	05	18	00	0	1.56	|	orig=34.8 F|Local time: 1400|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-1.jpg
1872	01	06	01	00	0	0.00	|	orig=32.0 F|Local time: 2100|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-1.jpg
1872	01	06	11	00	0	-0.28	|	orig=31.5 F|Local time: 0700|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-1.jpg
1872	01	06	18	00	0	-1.67	|	orig=29.0 F|Local time: 1400|QC flag: None|Image File: Pictou_TMO-100_M1958_1872-01-01_OBS-1.jpg
