SEF	1.0.0
ID	QuebecCanada
Name	QuebecCity
Lat	44.235
Lon	283.47
Alt	85.3
Source	ODR
Link	https://opendatarescue.org
Vbl	rh
Stat	point
Unit	%
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1853	05	11	12	00	0	100.00	|	orig=1.000 p|Local time: 0700|QC flag: multiply by 100|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	11	19	00	0	68.00	|	orig=0.680 p|Local time: 1400|QC flag: multiply by 100|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	12	12	00	0	74.90	|	orig=0.749 p|Local time: 0700|QC flag: multiply by 100|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	12	19	00	0	86.00	|	orig=0.860 p|Local time: 1400|QC flag: multiply by 100|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	13	12	00	0	70.90	|	orig=0.709 p|Local time: 0700|QC flag: multiply by 100|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	13	19	00	0	59.00	|	orig=0.590 p|Local time: 1400|QC flag: multiply by 100|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	14	12	00	0	74.80	|	orig=0.748 p|Local time: 0700|QC flag: multiply by 100|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	14	19	00	0	49.00	|	orig=0.490 p|Local time: 1400|QC flag: multiply by 100|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	15	12	00	0	55.80	|	orig=0.558 p|Local time: 0700|QC flag: multiply by 100|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	15	19	00	0	55.00	|	orig=0.550 p|Local time: 1400|QC flag: multiply by 100|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	16	12	00	0	76.80	|	orig=0.768 p|Local time: 0700|QC flag: multiply by 100|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	16	19	00	0	45.50	|	orig=0.455 p|Local time: 1400|QC flag: multiply by 100|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	17	12	00	0	63.30	|	orig=0.633 p|Local time: 0700|QC flag: multiply by 100|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
