SEF	1.0.0
ID	QuebecCanada
Name	QuebecCity
Lat	44.235
Lon	283.47
Alt	85.3
Source	ODR
Link	https://opendatarescue.org
Vbl	tbx
Stat	point
Unit	C
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1853	05	11	05	00	0	10.56	|	orig=51.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	12	05	00	0	13.78	|	orig=56.8 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	13	05	00	0	8.89	|	orig=48.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	14	05	00	0	9.78	|	orig=49.6 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	15	05	00	0	10.56	|	orig=51.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	16	05	00	0	17.78	|	orig=64.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	17	05	00	0	18.61	|	orig=65.5 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	18	05	00	0	11.39	|	orig=52.5 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	19	05	00	0	8.06	|	orig=46.5 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	20	05	00	0	4.17	|	orig=39.5 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	21	05	00	0	7.22	|	orig=45.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	22	05	00	0	10.56	|	orig=51.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	23	05	00	0	10.00	|	orig=50.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	24	05	00	0	11.11	|	orig=52.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	25	05	00	0	11.67	|	orig=53.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	26	05	00	0	11.39	|	orig=52.5 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	27	05	00	0	16.94	|	orig=62.5 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	28	05	00	0	17.22	|	orig=63.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	29	05	00	0	17.22	|	orig=63.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	30	05	00	0	19.44	|	orig=67.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	31	05	00	0	6.67	|	orig=44.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	06	01	05	00	0	11.67	|	orig=53 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	02	05	00	0	13.89	|	orig=57.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	03	05	00	0	12.50	|	orig=54.5 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	04	05	00	0	10.00	|	orig=50.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	05	05	00	0	16.11	|	orig=61.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	06	05	00	0	17.22	|	orig=63.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
