SEF	1.0.0
ID	QuebecCanada
Name	QuebecCity
Lat	44.235
Lon	283.47
Alt	85.3
Source	ODR
Link	https://opendatarescue.org
Vbl	rrt
Stat	point
Unit	none
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1853	05	01	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	02	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	03	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	04	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	05	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	06	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	07	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	08	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	09	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	10	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	11	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	12	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	13	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	14	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	15	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	16	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	17	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	18	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	19	00	00	24	rain | sleet | snow	|	orig=Rain | Sleet | Snow text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	20	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	21	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	22	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	23	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	24	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	25	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	26	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	27	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	28	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	29	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	30	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	31	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	06	01	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	02	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	03	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	04	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	05	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	06	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	07	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	08	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	09	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	10	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	11	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	12	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	13	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	14	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	15	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	16	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	17	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	18	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	19	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	20	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	21	00	00	24	rain	|	orig=Rain text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	22	00	00	24	empty	|	orig=Empty text|Local time: daily|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
