SEF	1.0.0
ID	QuebecCanada
Name	QuebecCity
Lat	44.235
Lon	283.47
Alt	85.3
Source	ODR
Link	https://opendatarescue.org
Vbl	tb
Stat	point
Unit	C
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1855	03	02	14	00	0	-17.22	|	orig=1.0 F|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	02	20	00	0	-999	|	orig=Empty F|Local time: 1500|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	03	14	00	0	-999	|	orig=Empty F|Local time: 0900|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	03	20	00	0	-999	|	orig=Empty F|Local time: 1500|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	04	14	00	0	-999	|	orig=Empty F|Local time: 0900|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	04	20	00	0	-999	|	orig=Empty F|Local time: 1500|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	05	14	00	0	-999	|	orig=Empty F|Local time: 0900|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	05	20	00	0	-16.67	|	orig=2.0 F|Local time: 1500|QC flag: None|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	06	14	00	0	-999	|	orig=Empty F|Local time: 0900|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	06	20	00	0	-999	|	orig=Empty F|Local time: 1500|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	07	14	00	0	-999	|	orig=Empty F|Local time: 0900|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	07	20	00	0	-999	|	orig=Empty F|Local time: 1500|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	08	14	00	0	-16.67	|	orig=2.0 F|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	08	20	00	0	-16.11	|	orig=3.0 F|Local time: 1500|QC flag: None|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	09	14	00	0	-999	|	orig=Empty F|Local time: 0900|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	09	20	00	0	-999	|	orig=Empty F|Local time: 1500|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	10	14	00	0	-999	|	orig=Empty F|Local time: 0900|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	10	20	00	0	-999	|	orig=Empty F|Local time: 1500|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	11	14	00	0	-999	|	orig=Empty F|Local time: 0900|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	11	20	00	0	-999	|	orig=Empty F|Local time: 1500|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	12	14	00	0	-999	|	orig=Empty F|Local time: 0900|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	12	20	00	0	-999	|	orig=Empty F|Local time: 1500|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	13	14	00	0	-999	|	orig=Empty F|Local time: 0900|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	13	20	00	0	-999	|	orig=Empty F|Local time: 1500|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	14	14	00	0	-999	|	orig=Empty F|Local time: 0900|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	14	20	00	0	-999	|	orig=Empty F|Local time: 1500|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	15	14	00	0	-999	|	orig=Empty F|Local time: 0900|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	15	20	00	0	-999	|	orig=Empty F|Local time: 1500|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	16	14	00	0	-999	|	orig=Empty F|Local time: 0900|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	16	20	00	0	-999	|	orig=Empty F|Local time: 1500|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	17	14	00	0	-999	|	orig=Empty F|Local time: 0900|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	17	20	00	0	-999	|	orig=Empty F|Local time: 1500|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
1855	03	18	14	00	0	-999	|	orig=Empty F|Local time: 0900|QC flag: missing|Image File: Quebec_RE-103_UKMO_1855-03-01_OBS-F.png
