SEF	1.0.0
ID	QuebecCanada
Name	QuebecCity
Lat	44.235
Lon	283.47
Alt	85.3
Source	ODR
Link	https://opendatarescue.org
Vbl	e
Stat	point
Unit	hPa
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1858	07	05	14	00	0	14.80	|	orig=0.437 inHg|Local time: 0900|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	05	19	00	0	14.97	|	orig=0.442 inHg|Local time: 1400|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	06	14	00	0	20.22	|	orig=0.597 inHg|Local time: 0900|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	06	19	00	0	17.14	|	orig=0.506 inHg|Local time: 1400|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	07	14	00	0	15.51	|	orig=0.458 inHg|Local time: 0900|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	07	19	00	0	26.65	|	orig=0.787 inHg|Local time: 1400|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	08	14	00	0	15.41	|	orig=0.455 inHg|Local time: 0900|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	08	19	00	0	16.25	|	orig=0.480 inHg|Local time: 1400|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	09	14	00	0	13.61	|	orig=0.402 inHg|Local time: 0900|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	09	19	00	0	16.19	|	orig=0.478 inHg|Local time: 1400|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	10	14	00	0	14.43	|	orig=0.426 inHg|Local time: 0900|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	10	19	00	0	15.14	|	orig=0.447 inHg|Local time: 1400|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	11	14	00	0	-999	|	orig=Empty inHg|Local time: 0900|QC flag: missing|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	11	19	00	0	-999	|	orig=Empty inHg|Local time: 1400|QC flag: missing|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	12	14	00	0	14.43	|	orig=0.426 inHg|Local time: 0900|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	12	19	00	0	13.17	|	orig=0.389 inHg|Local time: 1400|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	13	14	00	0	16.02	|	orig=0.473 inHg|Local time: 0900|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	13	19	00	0	11.48	|	orig=0.339 inHg|Local time: 1400|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	14	14	00	0	16.90	|	orig=0.499 inHg|Local time: 0900|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	14	19	00	0	20.22	|	orig=0.597 inHg|Local time: 1400|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	15	14	00	0	17.85	|	orig=0.527 inHg|Local time: 0900|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	15	19	00	0	21.94	|	orig=0.648 inHg|Local time: 1400|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	16	14	00	0	19.91	|	orig=0.588 inHg|Local time: 0900|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	16	19	00	0	22.69	|	orig=0.670 inHg|Local time: 1400|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	17	14	00	0	31.83	|	orig=0.940 inHg|Local time: 0900|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	17	19	00	0	23.43	|	orig=0.692 inHg|Local time: 1400|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	18	14	00	0	-999	|	orig=Empty inHg|Local time: 0900|QC flag: missing|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	18	19	00	0	-999	|	orig=Empty inHg|Local time: 1400|QC flag: missing|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	19	14	00	0	9.75	|	orig=0.288 inHg|Local time: 0900|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	19	19	00	0	15.24	|	orig=0.450 inHg|Local time: 1400|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	20	14	00	0	11.41	|	orig=0.337 inHg|Local time: 0900|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
1858	07	20	19	00	0	17.37	|	orig=0.513 inHg|Local time: 1400|QC flag: none|Image File: Quebec_RE-101_UKMO_1858-07-01_OBS-F.png
