SEF	1.0.0
ID	QuebecCanada
Name	QuebecCity
Lat	44.235
Lon	283.47
Alt	85.3
Source	ODR
Link	https://opendatarescue.org
Vbl	ta
Stat	point
Unit	C
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1869	11	01	17	00	0	0.56	|	orig=33.0 F|Local time: 1200|QC flag: None|Image File: Quebec-Ashe_MRQO-101_MSC_1869-11-01_OBS-F.JPG
1869	11	02	17	00	0	2.67	|	orig=36.8 F|Local time: 1200|QC flag: None|Image File: Quebec-Ashe_MRQO-101_MSC_1869-11-01_OBS-F.JPG
1869	11	03	17	00	0	2.83	|	orig=37.1 F|Local time: 1200|QC flag: None|Image File: Quebec-Ashe_MRQO-101_MSC_1869-11-01_OBS-F.JPG
1869	11	04	17	00	0	6.50	|	orig=43.7 F|Local time: 1200|QC flag: None|Image File: Quebec-Ashe_MRQO-101_MSC_1869-11-01_OBS-F.JPG
1869	11	05	17	00	0	9.33	|	orig=48.8 F|Local time: 1200|QC flag: None|Image File: Quebec-Ashe_MRQO-101_MSC_1869-11-01_OBS-F.JPG
1869	11	06	17	00	0	8.89	|	orig=48.0 F|Local time: 1200|QC flag: None|Image File: Quebec-Ashe_MRQO-101_MSC_1869-11-01_OBS-F.JPG
1869	11	07	17	00	0	-999	|	orig=Empty F|Local time: 1200|QC flag: missing|Image File: Quebec-Ashe_MRQO-101_MSC_1869-11-01_OBS-F.JPG
1869	11	08	17	00	0	-0.56	|	orig=31.0 F|Local time: 1200|QC flag: None|Image File: Quebec-Ashe_MRQO-101_MSC_1869-11-01_OBS-F.JPG
1869	11	09	17	00	0	0.39	|	orig=32.7 F|Local time: 1200|QC flag: None|Image File: Quebec-Ashe_MRQO-101_MSC_1869-11-01_OBS-F.JPG
1869	11	10	17	00	0	-2.22	|	orig=28.0 F|Local time: 1200|QC flag: None|Image File: Quebec-Ashe_MRQO-101_MSC_1869-11-01_OBS-F.JPG
1869	11	11	17	00	0	-3.28	|	orig=26.1 F|Local time: 1200|QC flag: None|Image File: Quebec-Ashe_MRQO-101_MSC_1869-11-01_OBS-F.JPG
1869	11	12	17	00	0	-0.50	|	orig=31.1 F|Local time: 1200|QC flag: None|Image File: Quebec-Ashe_MRQO-101_MSC_1869-11-01_OBS-F.JPG
1869	11	13	17	00	0	-1.00	|	orig=30.2 F|Local time: 1200|QC flag: None|Image File: Quebec-Ashe_MRQO-101_MSC_1869-11-01_OBS-F.JPG
1869	11	14	17	00	0	-999	|	orig=Empty F|Local time: 1200|QC flag: missing|Image File: Quebec-Ashe_MRQO-101_MSC_1869-11-01_OBS-F.JPG
1869	11	15	17	00	0	-2.89	|	orig=26.8 F|Local time: 1200|QC flag: None|Image File: Quebec-Ashe_MRQO-101_MSC_1869-11-01_OBS-F.JPG
1869	11	16	17	00	0	-2.78	|	orig=27.0 F|Local time: 1200|QC flag: None|Image File: Quebec-Ashe_MRQO-101_MSC_1869-11-01_OBS-F.JPG
1869	11	17	17	00	0	-5.39	|	orig=22.3 F|Local time: 1200|QC flag: None|Image File: Quebec-Ashe_MRQO-101_MSC_1869-11-01_OBS-F.JPG
1869	11	18	17	00	0	-1.22	|	orig=29.8 F|Local time: 1200|QC flag: None|Image File: Quebec-Ashe_MRQO-101_MSC_1869-11-01_OBS-F.JPG
1869	11	19	17	00	0	-4.44	|	orig=24.0 F|Local time: 1200|QC flag: None|Image File: Quebec-Ashe_MRQO-101_MSC_1869-11-01_OBS-F.JPG
1869	11	20	17	00	0	0.56	|	orig=33.0 F|Local time: 1200|QC flag: None|Image File: Quebec-Ashe_MRQO-101_MSC_1869-11-01_OBS-F.JPG
