SEF	1.0.0
ID	SaintJohnCanada
Name	SaintJohn
Lat	45.27
Lon	293.93
Alt	41.15
Source	ODR
Link	https://opendatarescue.org
Vbl	pr
Stat	point
Unit	none
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1863	12	01	04	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1863-12-01_OBS-L.jpg
1863	12	02	04	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1863-12-01_OBS-L.jpg
1863	12	03	04	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1863-12-01_OBS-L.jpg
1863	12	04	04	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1863-12-01_OBS-L.jpg
1863	12	05	04	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1863-12-01_OBS-L.jpg
1863	12	06	04	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1863-12-01_OBS-L.jpg
1863	12	07	04	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1863-12-01_OBS-L.jpg
1863	12	08	04	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1863-12-01_OBS-L.jpg
1863	12	09	04	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1863-12-01_OBS-L.jpg
1863	12	10	04	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1863-12-01_OBS-L.jpg
1863	12	11	04	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1863-12-01_OBS-L.jpg
1863	12	12	04	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1863-12-01_OBS-L.jpg
1863	12	13	04	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1863-12-01_OBS-L.jpg
1863	12	14	04	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1863-12-01_OBS-L.jpg
1863	12	15	04	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1863-12-01_OBS-L.jpg
1863	12	16	04	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1863-12-01_OBS-L.jpg
