SEF	1.0.0
ID	SaintJohnCanada
Name	SaintJohn
Lat	45.27
Lon	293.93
Alt	41.15
Source	ODR
Link	https://opendatarescue.org
Vbl	cd
Stat	point
Unit	deg
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1864	01	03	11	00	0	270	|	orig=West dir|Local time: 0700|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	03	18	00	0	270	|	orig=West dir|Local time: 1400|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	04	11	00	0	270	|	orig=West dir|Local time: 0700|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	04	18	00	0	315	|	orig=North-West dir|Local time: 1400|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	05	11	00	0	-999	|	orig=- dir|Local time: 0700|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	05	18	00	0	-999	|	orig=- dir|Local time: 1400|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	06	11	00	0	315	|	orig=North-West dir|Local time: 0700|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	06	18	00	0	315	|	orig=North-West dir|Local time: 1400|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	07	11	00	0	-999	|	orig=- dir|Local time: 0700|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	07	18	00	0	-999	|	orig=- dir|Local time: 1400|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	08	11	00	0	-999	|	orig=- dir|Local time: 0700|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	08	18	00	0	-999	|	orig=- dir|Local time: 1400|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	09	11	00	0	315	|	orig=North-West dir|Local time: 0700|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	09	18	00	0	270	|	orig=West dir|Local time: 1400|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	10	11	00	0	315	|	orig=North-West dir|Local time: 0700|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	10	18	00	0	315	|	orig=North-West dir|Local time: 1400|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	11	11	00	0	315	|	orig=North-West dir|Local time: 0700|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	11	18	00	0	270	|	orig=West dir|Local time: 1400|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	12	11	00	0	-999	|	orig=- dir|Local time: 0700|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	12	18	00	0	-999	|	orig=- dir|Local time: 1400|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	13	11	00	0	225	|	orig=South-West dir|Local time: 0700|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	13	18	00	0	225	|	orig=South-West dir|Local time: 1400|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	14	11	00	0	-999	|	orig=- dir|Local time: 0700|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	14	18	00	0	-999	|	orig=- dir|Local time: 1400|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	15	11	00	0	-999	|	orig=- dir|Local time: 0700|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	15	18	00	0	-999	|	orig=- dir|Local time: 1400|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	16	11	00	0	-999	|	orig=- dir|Local time: 0700|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	16	18	00	0	315	|	orig=North-West dir|Local time: 1400|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	17	11	00	0	-999	|	orig=- dir|Local time: 0700|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	17	18	00	0	-999	|	orig=- dir|Local time: 1400|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	18	11	00	0	315	|	orig=North-West dir|Local time: 0700|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	18	18	00	0	-999	|	orig=- dir|Local time: 1400|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	19	11	00	0	-999	|	orig=- dir|Local time: 0700|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	19	18	00	0	45	|	orig=North-East dir|Local time: 1400|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	20	11	00	0	315	|	orig=North-West dir|Local time: 0700|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	20	18	00	0	45	|	orig=North-East dir|Local time: 1400|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	21	11	00	0	-999	|	orig=- dir|Local time: 0700|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	21	18	00	0	-999	|	orig=- dir|Local time: 1400|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	22	11	00	0	225	|	orig=South-West dir|Local time: 0700|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	22	18	00	0	225	|	orig=South-West dir|Local time: 1400|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	23	11	00	0	-999	|	orig=- dir|Local time: 0700|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	23	18	00	0	315	|	orig=North-West dir|Local time: 1400|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	24	11	00	0	225	|	orig=South-West dir|Local time: 0700|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	24	18	00	0	225	|	orig=South-West dir|Local time: 1400|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	25	11	00	0	225	|	orig=South-West dir|Local time: 0700|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	25	18	00	0	-999	|	orig=- dir|Local time: 1400|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	26	11	00	0	-999	|	orig=- dir|Local time: 0700|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	26	18	00	0	-999	|	orig=- dir|Local time: 1400|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	27	11	00	0	-999	|	orig=- dir|Local time: 0700|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	27	18	00	0	225	|	orig=South-West dir|Local time: 1400|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	28	11	00	0	-999	|	orig=- dir|Local time: 0700|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	28	18	00	0	-999	|	orig=- dir|Local time: 1400|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	29	11	00	0	-999	|	orig=- dir|Local time: 0700|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	29	18	00	0	315	|	orig=North-West dir|Local time: 1400|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	30	11	00	0	-999	|	orig=- dir|Local time: 0700|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	30	18	00	0	270	|	orig=West dir|Local time: 1400|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	31	11	00	0	315	|	orig=North-West dir|Local time: 0700|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	31	18	00	0	270	|	orig=West dir|Local time: 1400|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	02	01	11	00	0	-999	|	orig=- dir|Local time: 0700|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-L.jpg
1864	02	01	18	00	0	-999	|	orig=- dir|Local time: 1400|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-L.jpg
1864	02	02	11	00	0	315	|	orig=North-West dir|Local time: 0700|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-L.jpg
1864	02	02	18	00	0	-999	|	orig=- dir|Local time: 1400|QC flag: missing|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-L.jpg
1864	02	03	11	00	0	315	|	orig=North-West dir|Local time: 0700|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-L.jpg
