SEF	1.0.0
ID	SaintJohnCanada
Name	SaintJohn
Lat	45.27
Lon	293.93
Alt	41.15
Source	ODR
Link	https://opendatarescue.org
Vbl	ta
Stat	mean
Unit	C
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1864	01	01	00	00	24	1.11	|	orig=34.0 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	02	00	00	24	-11.67	|	orig=11.0 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	03	00	00	24	-11.83	|	orig=10.7 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	04	00	00	24	-10.56	|	orig=13.0 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	05	00	00	24	-12.94	|	orig=8.7 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	06	00	00	24	-12.78	|	orig=9.0 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	07	00	00	24	-19.28	|	orig=-2.7 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	08	00	00	24	-16.50	|	orig=+2.3 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	09	00	00	24	-10.17	|	orig=13.7 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	10	00	00	24	-7.78	|	orig=18.0 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	11	00	00	24	-6.11	|	orig=21.0 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	12	00	00	24	-5.56	|	orig=22.0 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	13	00	00	24	0.72	|	orig=33.3 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	14	00	00	24	-0.56	|	orig=31.0 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	15	00	00	24	-0.94	|	orig=30.3 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	16	00	00	24	-5.72	|	orig=21.7 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	17	00	00	24	-6.67	|	orig=20.0 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	18	00	00	24	2.39	|	orig=36.3 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	19	00	00	24	-2.22	|	orig=28.0 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	20	00	00	24	-7.61	|	orig=18.3 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	21	00	00	24	-7.61	|	orig=18.3 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	22	00	00	24	-0.39	|	orig=31.3 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	23	00	00	24	0.56	|	orig=33.0 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	24	00	00	24	2.22	|	orig=36.0 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	25	00	00	24	2.06	|	orig=35.7 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	26	00	00	24	-5.72	|	orig=21.7 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	27	00	00	24	-9.28	|	orig=15.3 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	28	00	00	24	-0.56	|	orig=31.0 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	29	00	00	24	-2.61	|	orig=27.3 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	30	00	00	24	-9.28	|	orig=15.3 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	01	31	00	00	24	-9.61	|	orig=14.7 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-01-01_OBS-L.jpg
1864	02	01	00	00	24	-10.72	|	orig=12.7 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-L.jpg
1864	02	02	00	00	24	-0.39	|	orig=31.3 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-L.jpg
1864	02	03	00	00	24	-2.94	|	orig=26.7 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-L.jpg
1864	02	04	00	00	24	-5.00	|	orig=23.0 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-L.jpg
1864	02	05	00	00	24	2.39	|	orig=36.3 F|Local time: mean|QC flag: None|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-L.jpg
