SEF	1.0.0
ID	StJohnsManitobaCanada
Name	StJohnsCollege
Lat	49.933
Lon	262.88
Alt	227
Source	ODR
Link	https://opendatarescue.org
Vbl	pr
Stat	point
Unit	mm
Meta		UTCOffset=Applied	UTCOffset=6
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1874	01	10	15	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	17	15	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	19	15	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	27	15	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	31	15	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	02	01	15	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-02-01_OBS-F.jpg
1874	02	08	15	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-02-01_OBS-F.jpg
1874	02	15	15	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-02-01_OBS-F.jpg
1874	02	22	15	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-02-01_OBS-F.jpg
1874	03	01	15	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	02	15	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	03	15	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	04	15	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	05	15	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	06	15	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
