SEF	1.0.0
ID	StJohnsManitobaCanada
Name	StJohnsCollege
Lat	49.933
Lon	262.88
Alt	227
Source	ODR
Link	https://opendatarescue.org
Vbl	atb
Stat	point
Unit	C
Meta		UTCOffset=Applied	UTCOffset=6
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1874	01	01	15	00	0	1.11	|	orig=34 F|Local time: 0900|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	02	03	00	0	6.11	|	orig=43 F|Local time: 2100|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	02	15	00	0	5.56	|	orig=42 F|Local time: 0900|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	03	03	00	0	7.78	|	orig=46 F|Local time: 2100|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	03	15	00	0	0.56	|	orig=33 F|Local time: 0900|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	04	03	00	0	-5.00	|	orig=23 F|Local time: 2100|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	05	15	00	0	-6.67	|	orig=20 F|Local time: 0900|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	09	03	00	0	1.67	|	orig=35 F|Local time: 2100|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	09	15	00	0	-0.56	|	orig=31 F|Local time: 0900|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	10	03	00	0	-0.56	|	orig=31 F|Local time: 2100|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	10	15	00	0	-2.78	|	orig=27 F|Local time: 0900|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	11	03	00	0	-6.11	|	orig=21 F|Local time: 2100|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	12	15	00	0	-11.11	|	orig=12 F|Local time: 0900|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	13	03	00	0	-11.67	|	orig=11 F|Local time: 2100|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	13	15	00	0	-15.56	|	orig=4 F|Local time: 0900|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	14	03	00	0	-14.44	|	orig=6 F|Local time: 2100|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	14	15	00	0	-15.56	|	orig=4 F|Local time: 0900|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
