SEF	1.0.0
ID	StJohnsManitobaCanada
Name	StJohnsCollege
Lat	49.933
Lon	262.88
Alt	227
Source	ODR
Link	https://opendatarescue.org
Vbl	Txs
Stat	point
Unit	C
Meta		UTCOffset=Applied	UTCOffset=6
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1876	01	04	06	00	0	-15.56	|	orig=4.0 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	05	06	00	0	-4.44	|	orig=24.0 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	07	06	00	0	30.00	|	orig=86.0 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	08	06	00	0	25.00	|	orig=77.0 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	10	06	00	0	26.11	|	orig=79.0 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	11	06	00	0	31.11	|	orig=88.0 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	12	06	00	0	25.56	|	orig=78.0 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	13	06	00	0	23.89	|	orig=75.0 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	14	06	00	0	21.11	|	orig=70.0 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	15	06	00	0	38.33	|	orig=101.0 F|Local time: 0000|QC flag: high value|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	16	06	00	0	37.78	|	orig=100.0 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	17	06	00	0	37.78	|	orig=100.0 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	18	06	00	0	5.56	|	orig=42.0 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	19	06	00	0	10.00	|	orig=50.0 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	20	06	00	0	23.89	|	orig=75.0 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	21	06	00	0	25.00	|	orig=77.0 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	22	06	00	0	-2.50	|	orig=27.5 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	23	06	00	0	29.44	|	orig=85.0 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	24	06	00	0	27.78	|	orig=82.0 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	25	06	00	0	-2.78	|	orig=27.0 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	26	06	00	0	15.17	|	orig=59.3 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	27	06	00	0	23.61	|	orig=74.5 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	28	06	00	0	11.11	|	orig=52.0 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	29	06	00	0	26.67	|	orig=80.0 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	01	31	06	00	0	28.33	|	orig=83.0 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-01-01_OBS-F.jpg
1876	02	01	06	00	0	26.39	|	orig=79.5 F|Local time: 0000|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1876-02-01_OBS-F.jpg
