SEF	1.0.0
ID	StJohnsCanada
Name	StJohnsNFLDCas
Lat	47.55
Lon	307.28
Alt	37.6
Source	ODR
Link	https://opendatarescue.org
Vbl	pr
Stat	point
Unit	none
Meta		UTCOffset=Applied	UTCOffset=3.5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1868	11	01	04	30	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	02	04	30	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	03	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	05	04	30	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	06	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	07	04	30	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	08	04	30	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	09	04	30	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	10	04	30	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	11	04	30	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	12	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	14	04	30	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	15	04	30	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	16	04	30	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	17	04	30	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	19	04	30	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	20	04	30	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	21	04	30	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	22	04	30	0	snow & rain	|	orig=snow & rain text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	23	04	30	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	26	04	30	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	27	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	28	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	29	04	30	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	30	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	12	01	04	30	0	0	|	orig=0 text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-12-01_OBS-L.jpg
1868	12	02	04	30	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-12-01_OBS-L.jpg
1868	12	03	04	30	0	snow | rain	|	orig=snow | rain text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-12-01_OBS-L.jpg
1868	12	04	04	30	0	rain	|	orig=Rain text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-12-01_OBS-L.jpg
1868	12	05	04	30	0	0	|	orig=0 text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-12-01_OBS-L.jpg
1868	12	06	04	30	0	0	|	orig=0 text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-12-01_OBS-L.jpg
1868	12	07	04	30	0	0	|	orig=0 text|Local time: 0000|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-12-01_OBS-L.jpg
