SEF	1.0.0
ID	StJohnsCanada
Name	StJohnsNFLDCas
Lat	47.55
Lon	307.28
Alt	37.6
Source	ODR
Link	https://opendatarescue.org
Vbl	atb
Stat	point
Unit	C
Meta		UTCOffset=Applied	UTCOffset=3.5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1869	02	16	18	30	0	1.11	|	orig=34.0 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	17	01	30	0	4.17	|	orig=39.5 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	17	11	30	0	6.11	|	orig=43.0 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	17	18	30	0	9.17	|	orig=48.5 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	18	01	30	0	10.56	|	orig=51.0 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	18	11	30	0	6.11	|	orig=43.0 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	18	18	30	0	10.17	|	orig=50.3 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	19	01	30	0	8.50	|	orig=47.3 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	19	11	30	0	8.33	|	orig=47.0 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	19	18	30	0	18.50	|	orig=65.3 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	20	01	30	0	10.00	|	orig=50.0 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	20	11	30	0	6.39	|	orig=43.5 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	20	18	30	0	7.22	|	orig=45.0 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	21	01	30	0	5.00	|	orig=41.0 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	21	11	30	0	2.78	|	orig=37.0 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	21	18	30	0	6.67	|	orig=44.0 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	22	01	30	0	7.22	|	orig=45.0 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	22	11	30	0	4.72	|	orig=40.5 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	22	18	30	0	7.50	|	orig=45.5 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	23	01	30	0	6.39	|	orig=43.5 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	23	11	30	0	4.72	|	orig=40.5 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	23	18	30	0	7.22	|	orig=45.0 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	24	01	30	0	7.22	|	orig=45.0 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	24	11	30	0	10.56	|	orig=51.0 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	24	18	30	0	11.94	|	orig=53.5 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	25	01	30	0	10.00	|	orig=50.0 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	25	11	30	0	7.78	|	orig=46.0 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	25	18	30	0	4.44	|	orig=40.0 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	26	01	30	0	2.50	|	orig=36.5 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	26	11	30	0	-0.56	|	orig=31.0 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	26	18	30	0	5.00	|	orig=41.0 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	27	01	30	0	5.00	|	orig=41.0 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	27	11	30	0	4.44	|	orig=40.0 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	27	18	30	0	5.00	|	orig=41.0 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	28	01	30	0	8.33	|	orig=47.0 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	28	11	30	0	5.00	|	orig=41.0 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	02	28	18	30	0	11.67	|	orig=53.0 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
1869	03	01	01	30	0	6.39	|	orig=43.5 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLDCas_USSI-401_M1958_1869-02-01_OBS-R.jpg
