SEF	1.0.0
ID	StJohnsCanada
Name	StJohnsNFLDDel
Lat	47.56
Lon	307.30
Alt	51.8
Source	ODR
Link	https://opendatarescue.org
Vbl	ww
Stat	point
Unit	manual observation
Meta		UTCOffset=Applied	UTCOffset=3.5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1856	12	01	00	00	24	SKC	|	orig=fine mno|Local time: daily|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_CP-I.jpg
1856	12	01	00	00	24	SKC	|	orig=night fine also mno|Local time: daily|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_CP-I.jpg
1856	12	02	00	00	24	SKC	|	orig=fine, light, wind mno|Local time: daily|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_CP-I.jpg
1856	12	03	00	00	24	SN	|	orig=snow all day mno|Local time: daily|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_CP-I.jpg
1856	12	04	00	00	24	SN	|	orig=rain and snow all day mno|Local time: daily|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_CP-I.jpg
1856	12	05	00	00	24	FG	|	orig=fog mno|Local time: daily|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_CP-I.jpg
1856	12	05	00	00	24	RA	|	orig=raining nearly all day mno|Local time: daily|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_CP-I.jpg
1856	12	06	00	00	24	-999	|	orig=soft mno|Local time: daily|QC flag: missing|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_CP-I.jpg
1856	12	06	00	00	24	SKC	|	orig=fine mno|Local time: daily|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_CP-I.jpg
1856	12	07	00	00	24	SN	|	orig=little snow at night mno|Local time: daily|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_CP-I.jpg
1856	12	08	00	00	24	SN	|	orig=little snow at night mno|Local time: daily|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_CP-I.jpg
1856	12	09	00	00	24	SKC	|	orig=fine, freezing mno|Local time: daily|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_CP-I.jpg
1856	12	10	00	00	24	SKC	|	orig=fine, freezing mno|Local time: daily|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_CP-I.jpg
1856	12	11	00	00	24	SKC	|	orig=fine, light wind mno|Local time: daily|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_CP-I.jpg
1856	12	12	00	00	24	SKC	|	orig=fine, soft, light wind mno|Local time: daily|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_CP-I.jpg
1856	12	13	00	00	24	SKC	|	orig=fine, light wind mno|Local time: daily|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_CP-I.jpg
1856	12	14	00	00	24	SKC	|	orig=fine all day, very cold mno|Local time: daily|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_CP-I.jpg
1856	12	15	00	00	24	SN	|	orig=snowing nearly all day mno|Local time: daily|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_CP-I.jpg
1856	12	16	00	00	24	SKC	|	orig=fine all day, light wind mno|Local time: daily|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_CP-I.jpg
