SEF	1.0.0
ID	StanbridgeCanada
Name	Stanbridge
Lat	45.13
Lon	287.1
Alt	67.7
Source	ODR
Link	https://opendatarescue.org
Vbl	sd
Stat	point
Unit	mm
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1856	03	02	00	00	24	101.60	|	orig=4 in|Local time: daily|QC flag: high value|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	04	00	00	24	-999	|	orig=1 1/2 in|Local time: daily|QC flag: missing|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	06	00	00	24	50.80	|	orig=2 in|Local time: daily|QC flag: high value|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	08	00	00	24	25.40	|	orig=1 in|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	15	00	00	24	25.40	|	orig=1 in|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	19	00	00	24	-999	|	orig=1/2 in|Local time: daily|QC flag: missing|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	28	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	29	00	00	24	50.80	|	orig=2 in|Local time: daily|QC flag: high value|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	30	00	00	24	25.40	|	orig=1 in|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1857	01	01	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	02	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	03	00	00	24	-999	|	orig=1 1/2 in|Local time: daily|QC flag: missing|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	04	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	05	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	06	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	07	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	08	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	09	00	00	24	76.20	|	orig=3 in|Local time: daily|QC flag: high value|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	10	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	11	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	12	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	13	00	00	24	25.40	|	orig=1 in|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	14	00	00	24	0.23	|	orig=slight in|Local time: daily|QC flag: trace|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	15	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	16	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: Stanbridge_USSI-201_M1958_1857-01-01_OBS-F.jpg
