SEF	1.0.0
ID	StanbridgeCanada
Name	Stanbridge
Lat	45.13
Lon	287.1
Alt	67.7
Source	ODR
Link	https://opendatarescue.org
Vbl	ww
Stat	point
Unit	manual observation
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1856	03	02	00	00	24	SN	|	orig=A drifting snow storm from the NE mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_CP-I.jpg
1856	03	06	00	00	24	AU	|	orig=Aurora borealis first up about 9 o'clock [9pm] in the form of an arch with a dark cloud beneath mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_CP-I.jpg
1856	03	09	00	00	24	PARHEL	|	orig=Parhelia or mock suns very distant and beautiful mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_CP-I.jpg
1856	03	14	00	00	24	-999	|	orig=The first time the mercury has been above freezing since the 23rd day of Dec[ember] last mno|Local time: daily|QC flag: missing|Image File: Stanbridge_USSI-201_M1958_1856-03-01_CP-I.jpg
1856	03	19	00	00	24	-999	|	orig=Commenced making maple sugar mno|Local time: daily|QC flag: missing|Image File: Stanbridge_USSI-201_M1958_1856-03-01_CP-I.jpg
1857	01	05	00	00	24	-999	|	orig=Two large and beautiful "mock suns" remained about the sun all day mno|Local time: daily|QC flag: missing|Image File: Stanbridge_USSI-201_M1958_1857-01-01_CP-I.jpg
1857	01	20	00	00	24	SKC	|	orig=Two mock suns appeared shortly after sunrise and remained until about 1/2 past nine. the sky quite clear except a few [fleecy] clouds under the sun mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-01-01_CP-I.jpg
1857	02	10	00	00	24	-999	|	orig=Very high water on the 10th, 16th and 23rd of the month mno|Local time: daily|QC flag: missing|Image File: Stanbridge_USSI-201_M1958_1857-02-01_CP-I.jpg
1857	02	25	00	00	24	AU	|	orig=25th Aurora borealis in the form of an arch mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-02-01_CP-I.jpg
1857	05	11	00	00	24	FRST	|	orig=Last frost mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-05-01_CP-I.jpg
1857	06	01	00	00	24	TS	|	orig=Thunder storm, first this season, from 6pm to 10 from West to East. Not heavy mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-06-01_CP-I.jpg
1857	06	13	00	00	24	TS	|	orig=Thunder storm from 4pm to 10, vivid lightning and heavy thunder accompanied with high wind which tore up trees, un-roofed buildings and destroyed one dwelling house and in some places within a few miles hail fell but did no damage. mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-06-01_CP-I.jpg
1857	06	26	00	00	24	TS	|	orig=Slight thunder storm accompanied with high wind mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-06-01_CP-I.jpg
1857	07	07	00	00	24	TS	|	orig=Light thunder storm passed from east to west (unusual here) mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-07-01_CP-I.jpg
1857	07	11	00	00	24	RA	|	orig=Lightening 9 o'clock PM without rain or thunder mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-07-01_CP-I.jpg
1857	07	20	00	00	24	TS	|	orig=Very heavy thunder storms from noon until about midnight but the heaviest and most of it to the south of this station. mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-07-01_CP-I.jpg
1857	07	28	00	00	24	RA	|	orig=Very heavy thunder storm the rain fell in torrents for about half an hour lightning vivid thunder heavy and some of it very near, passed from south west to north east lasted from 1 to 2 PM. mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-07-01_CP-I.jpg
1857	08	01	00	00	24	TS	|	orig=Light Thunder storm at 3 o'clock. Heaviest further passed to the north mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-08-01_CP-I.jpg
1857	08	10	00	00	24	TS	|	orig=Heavy thunder storm in the afternoon and evening mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-08-01_CP-I.jpg
1857	09	05	00	00	24	RA	|	orig=Thunder storm heavy rain mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-09-01_CP-I.jpg
1857	09	07	00	00	24	FRST	|	orig=Slight frost but did not kill any vegetables mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-09-01_CP-I.jpg
1857	09	19	00	00	24	FRST	|	orig=Frost, in some localities in this vicinity killed some vegetables but was not severe in general mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-09-01_CP-I.jpg
1857	09	28	00	00	24	RA	|	orig=Half past 20 o'clock severe storm accompanied with thunder, hail (slight) rain and high wind but of short duration mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1857-09-01_CP-I.jpg
1858	06	25	00	00	24	-999	|	orig=slight mno|Local time: daily|QC flag: missing|Image File: Stanbridge_USSI-103_M1958_1858-06-01_OBS-F.jpg
1858	07	03	00	00	24	-999	|	orig=Slight mno|Local time: daily|QC flag: missing|Image File: Stanbridge_USSI-103_M1958_1858-07-01_OBS-F.jpg
1858	07	17	00	00	24	TS	|	orig=Thunder show[er] mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-103_M1958_1858-07-01_OBS-F.jpg
1858	07	20	00	00	24	SH	|	orig=Shower mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-103_M1958_1858-07-01_OBS-F.jpg
1858	07	27	00	00	24	-999	|	orig=Slight mno|Local time: daily|QC flag: missing|Image File: Stanbridge_USSI-103_M1958_1858-07-01_OBS-F.jpg
1858	08	03	00	00	24	-999	|	orig=slight mno|Local time: daily|QC flag: missing|Image File: Stanbridge_USSI-103_M1958_1858-08-01_OBS-F.jpg
1858	08	05	00	00	24	-999	|	orig=slight mno|Local time: daily|QC flag: missing|Image File: Stanbridge_USSI-103_M1958_1858-08-01_OBS-F.jpg
1858	08	06	00	00	24	-999	|	orig=slight mno|Local time: daily|QC flag: missing|Image File: Stanbridge_USSI-103_M1958_1858-08-01_OBS-F.jpg
1858	08	18	00	00	24	TS	|	orig=T. shower [Thunder shower] mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-103_M1958_1858-08-01_OBS-F.jpg
1858	08	30	00	00	24	-999	|	orig=heavy mno|Local time: daily|QC flag: missing|Image File: Stanbridge_USSI-103_M1958_1858-08-01_OBS-F.jpg
1858	11	01	00	00	24	-999	|	orig=slight mno|Local time: daily|QC flag: missing|Image File: Stanbridge_USSI-201_M1958_1858-11-01_OBS-F.jpg
1858	11	04	00	00	24	-999	|	orig=heavy mno|Local time: daily|QC flag: missing|Image File: Stanbridge_USSI-201_M1958_1858-11-01_OBS-F.jpg
1859	06	04	00	00	24	FRST	|	orig=Slight frost but did no damage mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1859-06-01_CP-I.jpg
1859	06	11	00	00	24	FRST	|	orig=Slight frost killed tender vegetables in some localities mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1859-06-01_CP-I.jpg
1859	06	11	00	00	24	SN	|	orig=flashes of snow fell at 5 o' clock AM mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1859-06-01_CP-I.jpg
1859	08	30	00	00	24	FRST	|	orig=Slight frost but did not do any material damage in this locality. mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1859-08-01_CP-I.jpg
1859	12	13	00	00	24	AU	|	orig=At about 5 o'clock AM there was a very brilliant display of Aurora Borealis the streaks towards the zenith from the north and east of a bright blood red color constantly changing until daylight. mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1859-12-01_CP-I.jpg
1860	03	07	00	00	24	SN	|	orig=A stormy day, snow; in the evening rain between 7 [7pm] and 8 O'clock [8pm]. Vivid flashes of lightning at the south east with low rumblings of thunder mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-202_M1958_1860-03-01_CP.jpg
1860	03	12	00	00	24	AU	|	orig=Very pleasant days and every evening brilliant displays of aurora borealis mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-202_M1958_1860-03-01_CP.jpg
1860	04	09	00	00	24	AU	|	orig=Very brillant display of aurora borealis. First appearance about 8 o'clock PM [8pm] at half past 8 [8:30pm]very bright and around nearly all the north half of the heavens mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-202_M1958_1860-04-01_CP.jpg
1860	04	10	00	00	24	-999	|	orig=Ice left the St. Lawrence at and near Montreal mno|Local time: daily|QC flag: missing|Image File: Stanbridge_USSI-202_M1958_1860-04-01_CP.jpg
1860	05	21	00	00	24	FRST	|	orig=Very hard and last frost mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-202_M1958_1860-05-01_CP.jpg
1860	07	20	00	00	24	-999	|	orig=Friday the 20th. A little before 10 O'clock PM [10pm] a large and brilliant meteor appeared to the south of this station, moved rapidly in an easterly direction at an elevation of about  ten or fifteen degrees. mno|Local time: daily|QC flag: missing|Image File: Stanbridge_USSI-202_M1958_1860-07-01_CP.jpg
1860	12	14	00	00	24	-999	|	orig=At 9 o'clock PM [9pm], observed a very brilliant shooting star in the east mno|Local time: daily|QC flag: missing|Image File: Stanbridge_USSI-202_M1958_1860-12-01_CP.jpg
1860	12	14	00	00	24	-999	|	orig=Two mock suns on each side of the sun through the day. Very large and bright mno|Local time: daily|QC flag: missing|Image File: Stanbridge_USSI-202_M1958_1860-12-01_CP.jpg
1860	12	15	00	00	24	AU	|	orig=8 o'clock PM [8pm]. Aurora borealis mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-202_M1958_1860-12-01_CP.jpg
1861	01	01	00	00	24	SN	|	orig=This month is remarkable for the great depth of snow and entire absence of a thaw mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-202_M1958_1861-01-01_CP.jpg
1861	05	22	00	00	24	FRST	|	orig=Slight frost mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-202_M1958_1861-05-01_CP.jpg
1861	10	16	00	00	24	FRST	|	orig=First frost light mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-202_M1958_1861-10-01_CP.jpg
1861	10	21	00	00	24	FRST	|	orig=First severe frost mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-202_M1958_1861-10-01_CP.jpg
1862	05	24	00	00	24	FRST	|	orig=Slight frost mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-202_M1958_1862-05-01_CP.jpg
1862	06	16	00	00	24	FRST	|	orig=Frost, killed tender plants. mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-202_M1958_1862-06-01_CP.jpg
1862	06	19	00	00	24	TS	|	orig="T. shower [Thunder Shower]" mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-202_M1958_1862-06-01_OBS-F.jpg
1862	08	05	00	00	24	RA	|	orig=11 o'clock am [11am] Thur. 88, 11 1/2 O'clock [11:30am] very high wind followed by rain vivid lightning, etc etc. Course of storm west to NE mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-202_M1958_1862-08-01_CP.jpg
1862	09	30	00	00	24	FRST	|	orig=First severe frost. mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-202_M1958_1862-09-01_CP.jpg
1863	09	23	00	00	24	FRST	|	orig=First frost of the season mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-202_M1958_1863-09-01_CP.jpg
1864	09	22	00	00	24	FRST	|	orig=First frost mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-202_M1958_1864-09-01_CP.jpg
1868	02	08	00	00	24	HALO	|	orig=Lunar halos - Large mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-202_M1958_1868-02-01_CP.jpg
1868	02	09	00	00	24	DRSN	|	orig=Drifting storm mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-202_M1958_1868-02-01_CP.jpg
1868	02	10	00	00	24	PARHEL	|	orig=Parhelia at 7 1/2 [7:30]am. South of the sun very bright mno|Local time: daily|QC flag: None|Image File: Stanbridge_USSI-202_M1958_1868-02-01_CP.jpg
