SEF	1.0.0
ID	StanbridgeCanada
Name	Stanbridge
Lat	45.13
Lon	287.1
Alt	67.7
Source	ODR
Link	https://opendatarescue.org
Vbl	ta
Stat	point
Unit	C
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1856	03	01	12	00	0	-10.00	|	orig=14 F|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	01	19	00	0	-3.33	|	orig=26 F|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	02	02	00	0	-7.78	|	orig=18 F|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	02	12	00	0	-7.78	|	orig=18 F|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	02	19	00	0	-3.89	|	orig=25 F|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	03	02	00	0	-10.00	|	orig=14 F|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	03	12	00	0	-11.11	|	orig=12 F|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	03	19	00	0	-6.11	|	orig=21 F|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	04	02	00	0	-16.67	|	orig=2 F|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	04	12	00	0	-21.11	|	orig=-6 F|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	04	19	00	0	-3.89	|	orig=25 F|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	05	02	00	0	-3.33	|	orig=26 F|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	05	12	00	0	-8.89	|	orig=16 F|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	05	19	00	0	-4.44	|	orig=24 F|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	06	02	00	0	-8.89	|	orig=16 F|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	06	12	00	0	-6.67	|	orig=20 F|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	06	19	00	0	-0.56	|	orig=31 F|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	07	02	00	0	-14.44	|	orig=6 F|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	07	12	00	0	-13.33	|	orig=8 F|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	07	19	00	0	-6.67	|	orig=20 F|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	08	02	00	0	-9.44	|	orig=15 F|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	08	12	00	0	-6.67	|	orig=20 F|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	08	19	00	0	-7.78	|	orig=18 F|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	09	02	00	0	-16.67	|	orig=2 F|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	09	12	00	0	-21.11	|	orig=-6 F|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	09	19	00	0	-15.56	|	orig=4 F|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	10	02	00	0	-21.11	|	orig=-6 F|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	10	12	00	0	-32.22	|	orig=-26 F|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	10	19	00	0	-15.00	|	orig=5 F|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	11	02	00	0	-18.89	|	orig=-2 F|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	11	12	00	0	-12.22	|	orig=10 F|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	11	19	00	0	-6.67	|	orig=20 F|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	12	02	00	0	-12.22	|	orig=10 F|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	12	12	00	0	-18.89	|	orig=-2 F|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	12	19	00	0	-7.78	|	orig=18 F|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	13	02	00	0	-13.33	|	orig=8 F|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	13	12	00	0	-15.56	|	orig=4 F|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	13	19	00	0	-6.67	|	orig=20 F|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	14	02	00	0	-6.67	|	orig=20 F|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	14	12	00	0	-7.78	|	orig=18 F|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	14	19	00	0	1.67	|	orig=35 F|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	15	02	00	0	-5.56	|	orig=22 F|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	15	12	00	0	-6.11	|	orig=21 F|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	15	19	00	0	1.11	|	orig=34 F|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	16	02	00	0	-1.11	|	orig=30 F|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	16	12	00	0	-4.44	|	orig=24 F|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	16	19	00	0	2.22	|	orig=36 F|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	17	02	00	0	-0.56	|	orig=31 F|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	17	12	00	0	-4.44	|	orig=24 F|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	17	19	00	0	2.22	|	orig=36 F|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	18	02	00	0	-1.67	|	orig=29 F|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
