SEF	1.0.0
ID	SteAnneCanada
Name	SteAnne
Lat	47.4
Lon	289.92
Alt	53.3
Source	ODR
Link	https://opendatarescue.org
Vbl	sd
Stat	point
Unit	mm
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1866	11	12	00	00	24	6.35	|	orig=0.25 in|Local time: daily|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	12	01	00	00	24	177.80	|	orig=7.0 in|Local time: daily|QC flag: high value|Image File: SteAnne_USSI-401_M1958_1866-12-01_OBS-L.jpg
1866	12	07	00	00	24	7.62	|	orig=0.3 in|Local time: daily|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-12-01_OBS-L.jpg
1866	12	13	00	00	24	10.16	|	orig=0.4 in|Local time: daily|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-12-01_OBS-L.jpg
1866	12	17	00	00	24	101.60	|	orig=4.0 in|Local time: daily|QC flag: high value|Image File: SteAnne_USSI-401_M1958_1866-12-01_OBS-L.jpg
1866	12	19	00	00	24	25.40	|	orig=1.0 in|Local time: daily|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-12-01_OBS-L.jpg
1866	12	28	00	00	24	266.70	|	orig=10.5 in|Local time: daily|QC flag: high value|Image File: SteAnne_USSI-401_M1958_1866-12-01_OBS-L.jpg
1867	01	01	00	00	24	12.70	|	orig=0.5 in|Local time: daily|QC flag: None|Image File: SteAnne_USSI-401_M1958_1867-01-01_OBS-L.jpg
1867	01	04	00	00	24	5.08	|	orig=0.2 in|Local time: daily|QC flag: None|Image File: SteAnne_USSI-401_M1958_1867-01-01_OBS-L.jpg
1867	01	06	00	00	24	12.70	|	orig=0.5 in|Local time: daily|QC flag: None|Image File: SteAnne_USSI-401_M1958_1867-01-01_OBS-L.jpg
1867	01	07	00	00	24	25.40	|	orig=1.0 in|Local time: daily|QC flag: None|Image File: SteAnne_USSI-401_M1958_1867-01-01_OBS-L.jpg
1867	01	08	00	00	24	127.00	|	orig=5.0 in|Local time: daily|QC flag: high value|Image File: SteAnne_USSI-401_M1958_1867-01-01_OBS-L.jpg
1867	01	09	00	00	24	101.60	|	orig=4.0 in|Local time: daily|QC flag: high value|Image File: SteAnne_USSI-401_M1958_1867-01-01_OBS-L.jpg
1867	01	10	00	00	24	25.40	|	orig=1.0 in|Local time: daily|QC flag: None|Image File: SteAnne_USSI-401_M1958_1867-01-01_OBS-L.jpg
1867	01	18	00	00	24	30.48	|	orig=1.2 in|Local time: daily|QC flag: high value|Image File: SteAnne_USSI-401_M1958_1867-01-01_OBS-L.jpg
