SEF	1.0.0
ID	SteAnneCanada
Name	SteAnne
Lat	47.4
Lon	289.92
Alt	53.3
Source	ODR
Link	https://opendatarescue.org
Vbl	ww
Stat	point
Unit	manual observation
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1866	11	10	00	00	24	SN	|	orig=snow last night 10am hail + rain mno|Local time: daily|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	11	11	00	00	24	SN	|	orig=snow + soft rain mno|Local time: daily|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	11	12	00	00	24	SN	|	orig="snow last night 10am + drizzling rain noon, rain 6pm" mno|Local time: daily|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	11	29	00	00	24	SN	|	orig="R[ain] last night, S[now]&R[ain] 8pm, 10am fog, sort of frozen sleet [3]pm, snow 8pm, snow mno|Local time: daily|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	12	05	00	00	24	-999	|	orig=The motion of the clouds is from a point N. of W. to a point S of E. without passing over this place mno|Local time: daily|QC flag: missing|Image File: SteAnne_USSI-401_M1958_1866-12-01_CP.jpg
1866	12	08	00	00	24	-999	|	orig=Some native grasses and herbs continue green in favourable situations, but there is scarcely any growth since the date of my last remark the 7th November mno|Local time: daily|QC flag: missing|Image File: SteAnne_USSI-401_M1958_1866-12-01_CP.jpg
1866	12	08	00	00	24	-999	|	orig=Vegetation may be said to have ceased altogether. mno|Local time: daily|QC flag: missing|Image File: SteAnne_USSI-401_M1958_1866-12-01_CP.jpg
1866	12	18	00	00	24	-999	|	orig=3-30 pm There are two bows in the west about 20 degrees at either side of the sun, and stretching perpendicularly from the horizon to an altitude equal that of the sun. mno|Local time: daily|QC flag: missing|Image File: SteAnne_USSI-401_M1958_1866-12-01_CP.jpg
1866	12	18	00	00	24	SKC	|	orig=The one south of the sun is the best defined mno|Local time: daily|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-12-01_CP.jpg
1866	12	28	00	00	24	-999	|	orig=The clouds move from S to N and then veer off towards the east mno|Local time: daily|QC flag: missing|Image File: SteAnne_USSI-401_M1958_1866-12-01_CP.jpg
