SEF	1.0.0
ID	SteAnneCanada
Name	SteAnne
Lat	47.4
Lon	289.92
Alt	53.3
Source	ODR
Link	https://opendatarescue.org
Vbl	hd
Stat	point
Unit	deg
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1866	11	13	02	00	0	270	|	orig=West dir|Local time: 2100|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	11	14	02	00	0	-999	|	orig=- dir|Local time: 2100|QC flag: missing|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	11	15	02	00	0	-999	|	orig=- dir|Local time: 2100|QC flag: missing|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	11	16	02	00	0	225	|	orig=South-West dir|Local time: 2100|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	11	17	02	00	0	-999	|	orig=- dir|Local time: 2100|QC flag: missing|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	11	18	02	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	11	19	02	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	11	20	02	00	0	270	|	orig=West dir|Local time: 2100|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	11	21	02	00	0	-999	|	orig=- dir|Local time: 2100|QC flag: missing|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	11	22	02	00	0	247.5	|	orig=West-South-West dir|Local time: 2100|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	11	23	02	00	0	270	|	orig=West dir|Local time: 2100|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	11	24	02	00	0	67.5	|	orig=East-North-East dir|Local time: 2100|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	11	25	02	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	11	26	02	00	0	-999	|	orig=- dir|Local time: 2100|QC flag: missing|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	11	27	02	00	0	-999	|	orig=- dir|Local time: 2100|QC flag: missing|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	11	28	02	00	0	-999	|	orig=- dir|Local time: 2100|QC flag: missing|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	11	29	02	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	11	30	02	00	0	-999	|	orig=- dir|Local time: 2100|QC flag: missing|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	12	01	02	00	0	-999	|	orig=- dir|Local time: 2100|QC flag: missing|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-L.jpg
1866	12	02	02	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-12-01_OBS-L.jpg
1866	12	03	02	00	0	-999	|	orig=- dir|Local time: 2100|QC flag: missing|Image File: SteAnne_USSI-401_M1958_1866-12-01_OBS-L.jpg
1866	12	04	02	00	0	-999	|	orig=- dir|Local time: 2100|QC flag: missing|Image File: SteAnne_USSI-401_M1958_1866-12-01_OBS-L.jpg
