SEF	1.0.0
ID	WinnipegCanada
Name	Winnipeg
Lat	49.867
Lon	263.0
Alt	198
Source	ODR
Link	https://opendatarescue.org
Vbl	ta
Stat	mean
Unit	C
Meta		UTCOffset=Applied	UTCOffset=6
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1869	01	01	00	00	24	-12.59	|	orig=9.33 F|Local time: mean|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-L.jpg
1869	01	02	00	00	24	-6.46	|	orig=20.38 F|Local time: mean|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-L.jpg
1869	01	03	00	00	24	-6.11	|	orig=21 F|Local time: mean|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-L.jpg
1869	01	04	00	00	24	-10.00	|	orig=14 F|Local time: mean|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-L.jpg
1869	01	05	00	00	24	-10.74	|	orig=12.66 F|Local time: mean|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-L.jpg
1869	01	06	00	00	24	-3.15	|	orig=26.33 F|Local time: mean|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-L.jpg
1869	01	07	00	00	24	-21.29	|	orig=-6.33 F|Local time: mean|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-L.jpg
1869	01	08	00	00	24	-15.37	|	orig=4.33 F|Local time: mean|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-L.jpg
1869	01	09	00	00	24	-20.74	|	orig=-5.33 F|Local time: mean|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-L.jpg
1869	01	10	00	00	24	-18.14	|	orig=-0.66 F|Local time: mean|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-L.jpg
1869	01	11	00	00	24	-11.11	|	orig=12 F|Local time: mean|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-L.jpg
1869	01	12	00	00	24	-8.71	|	orig=16.33 F|Local time: mean|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-L.jpg
1869	01	13	00	00	24	-3.52	|	orig=25.66 F|Local time: mean|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-L.jpg
1869	01	14	00	00	24	-8.71	|	orig=16.33 F|Local time: mean|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-L.jpg
