SEF	1.0.0
ID	WinnipegCanada
Name	Winnipeg
Lat	49.867
Lon	263.0
Alt	198
Source	ODR
Link	https://opendatarescue.org
Vbl	rh
Stat	point
Unit	%
Meta		UTCOffset=Applied	UTCOffset=6
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1869	01	01	13	00	0	86.00	|	orig=86 p|Local time: 0700|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	01	20	00	0	73.00	|	orig=73 p|Local time: 1400|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	02	03	00	0	90.00	|	orig=90 p|Local time: 2100|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	02	13	00	0	92.00	|	orig=92 p|Local time: 0700|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	02	20	00	0	86.00	|	orig=86 p|Local time: 1400|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	03	03	00	0	92.00	|	orig=92 p|Local time: 2100|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	03	13	00	0	85.00	|	orig=85 p|Local time: 0700|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	03	20	00	0	45.00	|	orig=45 p|Local time: 1400|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	04	03	00	0	93.00	|	orig=93 p|Local time: 2100|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	04	13	00	0	91.00	|	orig=91 p|Local time: 0700|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	04	20	00	0	92.00	|	orig=92 p|Local time: 1400|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	05	03	00	0	97.00	|	orig=97 p|Local time: 2100|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	05	13	00	0	87.00	|	orig=87 p|Local time: 0700|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	05	20	00	0	92.00	|	orig=92 p|Local time: 1400|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
