SEF	1.0.0
ID	WinnipegCanada
Name	Winnipeg
Lat	49.867
Lon	263.0
Alt	198
Source	ODR
Link	https://opendatarescue.org
Vbl	Tn
Stat	point
Unit	C
Meta		UTCOffset=Applied	UTCOffset=6
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1871	10	01	06	00	0	10.56	|	orig=51 F|Local time: 0000|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1871-10-01_CP.jpg
1871	10	02	06	00	0	2.78	|	orig=37 F|Local time: 0000|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1871-10-01_CP.jpg
1871	10	03	06	00	0	10.56	|	orig=51 F|Local time: 0000|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1871-10-01_CP.jpg
1871	10	04	06	00	0	-1.11	|	orig=30 F|Local time: 0000|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1871-10-01_CP.jpg
1871	10	05	06	00	0	-0.56	|	orig=31 F|Local time: 0000|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1871-10-01_CP.jpg
1871	10	06	06	00	0	-2.22	|	orig=28 F|Local time: 0000|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1871-10-01_CP.jpg
1871	10	07	06	00	0	1.11	|	orig=34 F|Local time: 0000|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1871-10-01_CP.jpg
1871	10	08	06	00	0	1.11	|	orig=34 F|Local time: 0000|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1871-10-01_CP.jpg
1871	10	09	06	00	0	-0.56	|	orig=31 F|Local time: 0000|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1871-10-01_CP.jpg
1871	10	10	06	00	0	-2.78	|	orig=27 F|Local time: 0000|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1871-10-01_CP.jpg
1871	10	11	06	00	0	-0.56	|	orig=31 F|Local time: 0000|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1871-10-01_CP.jpg
1871	10	12	06	00	0	0.56	|	orig=33 F|Local time: 0000|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1871-10-01_CP.jpg
1871	10	13	06	00	0	-2.78	|	orig=27 F|Local time: 0000|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1871-10-01_CP.jpg
1871	10	14	06	00	0	-2.22	|	orig=28 F|Local time: 0000|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1871-10-01_CP.jpg
1871	10	15	06	00	0	-3.33	|	orig=26 F|Local time: 0000|QC flag: None|Image File: Winnipeg_USSI-401_M1958_1871-10-01_CP.jpg
