SEF	1.0.0
ID	WinowhupaCanada
Name	Winowhupa
Lat	45.13
Lon	297.25
Alt	112
Source	ODR
Link	https://opendatarescue.org
Vbl	pr
Stat	point
Unit	none
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1865	10	02	04	00	0	drizzle	|	orig=drizzle text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	10	05	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	10	08	04	00	0	showers of snow	|	orig=showers of snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	10	11	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	10	13	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	10	17	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	10	18	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	10	20	04	00	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	10	21	04	00	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	10	25	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	10	28	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	11	05	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-11-01_OBS-L.jpg
1865	11	13	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-11-01_OBS-L.jpg
1865	11	15	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-11-01_OBS-L.jpg
1865	11	17	04	00	0	rain	|	orig=rain text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-11-01_OBS-L.jpg
1865	11	24	04	00	0	little snow	|	orig=little snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-11-01_OBS-L.jpg
1865	11	28	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-11-01_OBS-L.jpg
1865	12	05	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-12-01_OBS-L.jpg
1865	12	13	04	00	0	hail	|	orig=hail text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-12-01_OBS-L.jpg
1865	12	15	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-12-01_OBS-L.jpg
1865	12	20	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-12-01_OBS-L.jpg
1865	12	26	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-12-01_OBS-L.jpg
1865	12	27	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-12-01_OBS-L.jpg
1865	12	29	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-12-01_OBS-L.jpg
1866	01	01	04	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	01	03	04	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	01	04	04	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	01	06	04	00	0	empty	|	orig=Empty text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	01	12	04	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	01	13	04	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	01	14	04	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	01	17	04	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	01	20	04	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	01	21	04	00	0	snow	|	orig=Snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	02	01	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-02-01_OBS-L.jpg
1866	02	03	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-02-01_OBS-L.jpg
1866	02	11	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-02-01_OBS-L.jpg
1866	02	14	04	00	0	snow storm	|	orig=snow storm text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-02-01_OBS-L.jpg
1866	02	20	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-02-01_OBS-L.jpg
1866	02	24	04	00	0	snow rain	|	orig=snow rain text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-02-01_OBS-L.jpg
1866	02	25	04	00	0	snow rain	|	orig=snow rain text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-02-01_OBS-L.jpg
1866	03	04	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-03-01_OBS-L.jpg
1866	03	05	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-03-01_OBS-L.jpg
1866	03	06	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-03-01_OBS-L.jpg
1866	03	13	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-03-01_OBS-L.jpg
1866	03	17	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-03-01_OBS-L.jpg
1866	03	21	04	00	0	snow	|	orig=snow text|Local time: 0000|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-03-01_OBS-L.jpg
