SEF	1.0.0
ID	WinowhupaCanada
Name	Winowhupa
Lat	45.13
Lon	297.25
Alt	112
Source	ODR
Link	https://opendatarescue.org
Vbl	ptb
Stat	point
Unit	hour
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1865	10	02	00	00	24	6 am	|	orig=6 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	10	05	00	00	24	6 am	|	orig=6 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	10	08	00	00	24	8 am	|	orig=8 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	10	11	00	00	24	6 am	|	orig=6 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	10	13	00	00	24	7 am	|	orig=7 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	10	17	00	00	24	8 pm	|	orig=8 pm hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	10	18	00	00	24	2 pm	|	orig=2 pm hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	10	20	00	00	24	6 am	|	orig=6 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	10	21	00	00	24	5 am	|	orig=5 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	10	25	00	00	24	5 am	|	orig=5 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	10	28	00	00	24	8 pm	|	orig=8 pm hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-L.jpg
1865	11	05	00	00	24	7 am	|	orig=7 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-11-01_OBS-L.jpg
1865	11	13	00	00	24	5 am	|	orig=5 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-11-01_OBS-L.jpg
1865	11	15	00	00	24	10 am	|	orig=10 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-11-01_OBS-L.jpg
1865	11	17	00	00	24	2 pm	|	orig=2 pm hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-11-01_OBS-L.jpg
1866	01	01	00	00	24	10am	|	orig=10am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	01	03	00	00	24	1pm	|	orig=1pm hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	01	04	00	00	24	7pm	|	orig=7pm hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	01	06	00	00	24	7pm	|	orig=7pm hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	01	12	00	00	24	1pm	|	orig=1pm hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	01	17	00	00	24	7am | 3pm	|	orig=7am | 3pm hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	01	20	00	00	24	2 1/2 pm	|	orig=2 1/2 pm hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	01	21	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-01-01_OBS-L.jpg
1866	02	03	00	00	24	8 pm	|	orig=8 pm hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-02-01_OBS-L.jpg
1866	02	11	00	00	24	11 am	|	orig=11 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-02-01_OBS-L.jpg
1866	02	14	00	00	24	11 pm	|	orig=11 pm hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-02-01_OBS-L.jpg
1866	02	20	00	00	24	6 am	|	orig=6 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-02-01_OBS-L.jpg
1866	02	24	00	00	24	4 am	|	orig=4 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-02-01_OBS-L.jpg
1866	02	25	00	00	24	11 am	|	orig=11 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-02-01_OBS-L.jpg
1866	03	04	00	00	24	7 pm	|	orig=7 pm hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-03-01_OBS-L.jpg
1866	03	06	00	00	24	2 pm	|	orig=2 pm hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-03-01_OBS-L.jpg
1866	03	13	00	00	24	10 am	|	orig=10 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-03-01_OBS-L.jpg
1866	03	17	00	00	24	3 am	|	orig=3 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-03-01_OBS-L.jpg
1866	03	21	00	00	24	3 pm	|	orig=3 pm hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-03-01_OBS-L.jpg
1866	03	22	00	00	24	1 pm	|	orig=1 pm hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-03-01_OBS-L.jpg
1866	03	30	00	00	24	5 am (snow), 7pm (rain)	|	orig=5 am (snow), 7pm (rain) hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-03-01_OBS-L.jpg
1866	04	01	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	04	02	00	00	24	8 pm	|	orig=8 pm hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	04	03	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	04	04	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	04	05	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	04	06	00	00	24	3 am	|	orig=3 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	04	07	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	04	08	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	04	09	00	00	24	10 am	|	orig=10 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	04	10	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	04	11	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	04	12	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	04	13	00	00	24	6 pm	|	orig=6 pm hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	04	14	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	04	15	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	04	16	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	04	17	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	04	18	00	00	24	3 am	|	orig=3 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	04	19	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	04	20	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	04	21	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	04	22	00	00	24	10 am	|	orig=10 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	04	23	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-04-01_OBS-L.jpg
1866	05	10	00	00	24	11 am	|	orig=11 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-05-01_OBS-L.jpg
1866	05	13	00	00	24	2 am (snow), rain (10am)	|	orig=2 am (snow), rain (10am) hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-05-01_OBS-L.jpg
1866	05	15	00	00	24	5 pm	|	orig=5 pm hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-05-01_OBS-L.jpg
1866	05	17	00	00	24	4 am	|	orig=4 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-05-01_OBS-L.jpg
1866	05	29	00	00	24	8 am	|	orig=8 am hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-05-01_OBS-L.jpg
1866	05	30	00	00	24	6 pm	|	orig=6 pm hr|Local time: mean|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1866-05-01_OBS-L.jpg
