SEF	1.0.0
ID	WinowhupaCanada
Name	Winowhupa
Lat	45.13
Lon	297.25
Alt	112
Source	ODR
Link	https://opendatarescue.org
Vbl	atb
Stat	point
Unit	C
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1865	10	01	11	00	0	21.11	|	orig=70 F|Local time: 0700|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	01	18	00	0	24.44	|	orig=76 F|Local time: 1400|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	02	01	00	0	21.11	|	orig=70 F|Local time: 2100|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	02	11	00	0	15.56	|	orig=60 F|Local time: 0700|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	02	18	00	0	21.11	|	orig=70 F|Local time: 1400|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	03	01	00	0	21.11	|	orig=70 F|Local time: 2100|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	03	11	00	0	17.78	|	orig=64 F|Local time: 0700|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	03	18	00	0	22.22	|	orig=72 F|Local time: 1400|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	04	01	00	0	15.56	|	orig=60 F|Local time: 2100|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	04	11	00	0	21.11	|	orig=70 F|Local time: 0700|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	04	18	00	0	23.33	|	orig=74 F|Local time: 1400|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	05	01	00	0	24.44	|	orig=76 F|Local time: 2100|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	05	11	00	0	21.11	|	orig=70 F|Local time: 0700|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	05	18	00	0	22.22	|	orig=72 F|Local time: 1400|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	06	01	00	0	23.33	|	orig=74 F|Local time: 2100|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	06	11	00	0	20.00	|	orig=68 F|Local time: 0700|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	06	18	00	0	22.22	|	orig=72 F|Local time: 1400|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	07	01	00	0	23.33	|	orig=74 F|Local time: 2100|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	07	11	00	0	21.11	|	orig=70 F|Local time: 0700|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	07	18	00	0	21.11	|	orig=70 F|Local time: 1400|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	08	01	00	0	22.22	|	orig=72 F|Local time: 2100|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	08	11	00	0	22.22	|	orig=72 F|Local time: 0700|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	08	18	00	0	23.33	|	orig=74 F|Local time: 1400|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	09	01	00	0	21.11	|	orig=70 F|Local time: 2100|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	09	11	00	0	21.11	|	orig=70 F|Local time: 0700|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	09	18	00	0	22.22	|	orig=72 F|Local time: 1400|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	10	01	00	0	21.11	|	orig=70 F|Local time: 2100|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
1865	10	10	11	00	0	22.22	|	orig=72 F|Local time: 0700|QC flag: None|Image File: Winowhupa_USSI-401_M1958_1865-10-01_OBS-R.jpg
