SEF	1.0.0
ID	MichipocotonCanada
Name	Michipocoton
Lat	47.99
Lon	275.23
Alt	201
Source	ODR
Link	https://opendatarescue.org
Vbl	ww
Stat	point
Unit	manual observation
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1860	11	04	00	00	24	-888	|	orig="[illegible] Rain Snow all day" mno|Local time: mean|QC flag: illegible|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	05	00	00	24	RA	|	orig="rained a little" mno|Local time: mean|QC flag: passed|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	18	00	00	24	SN	|	orig="snowed 1 inch" mno|Local time: mean|QC flag: passed|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	20	00	00	24	-999	|	orig="clear on sunlight" mno|Local time: mean|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	21	00	00	24	SN	|	orig="snowed 1inch" mno|Local time: mean|QC flag: passed|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	22	00	00	24	SN	|	orig="snowing mostly all day" mno|Local time: mean|QC flag: passed|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	23	00	00	24	SN	|	orig="snowing all day" mno|Local time: mean|QC flag: passed|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	24	00	00	24	SN	|	orig="snowing all day" mno|Local time: mean|QC flag: passed|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	27	00	00	24	SN	|	orig="snowed last night" mno|Local time: mean|QC flag: passed|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	30	00	00	24	SN	|	orig="about 8ins of snow at date" mno|Local time: mean|QC flag: passed|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
