SEF	1.0.0
ID	SaintJohnCanada
Name	SaintJohn
Lat	45.27
Lon	293.93
Alt	41.15
Source	ODR
Link	https://opendatarescue.org
Vbl	p
Stat	mean
Unit	hPa
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1864	02	01	00	00	24	30.427	|	orig=30.427 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	02	00	00	24	29.709	|	orig=29.709 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	03	00	00	24	29.515	|	orig=29.515 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	04	00	00	24	29.719	|	orig=29.719 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	05	00	00	24	29.847	|	orig=29.847 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	06	00	00	24	29.852	|	orig=29.852 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	07	00	00	24	29.587	|	orig=29.587 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	08	00	00	24	29.446	|	orig=29.446 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	09	00	00	24	29.648	|	orig=29.648 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	10	00	00	24	29.900	|	orig=29.900 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	11	00	00	24	30.023	|	orig=30.023 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	12	00	00	24	29.483	|	orig=29.483 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	13	00	00	24	29.511	|	orig=29.511 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	14	00	00	24	29.438	|	orig=29.438 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	15	00	00	24	29.815	|	orig=29.815 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	16	00	00	24	29.362	|	orig=29.362 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	17	00	00	24	29.147	|	orig=29.147 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	18	00	00	24	30.037	|	orig=30.037 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	19	00	00	24	30.300	|	orig=30.300 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	20	00	00	24	30.076	|	orig=30.076 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	21	00	00	24	30.224	|	orig=30.224 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	22	00	00	24	30.164	|	orig=30.164 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	23	00	00	24	29.808	|	orig=29.808 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	24	00	00	24	29.688	|	orig=29.688 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	25	00	00	24	29.503	|	orig=29.503 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	26	00	00	24	29.614	|	orig=29.614 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	27	00	00	24	29.527	|	orig=29.527 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	28	00	00	24	29.796	|	orig=29.796 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	02	29	00	00	24	29.748	|	orig=29.748 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-02-01_OBS-R.jpg
1864	03	01	00	00	24	29.977	|	orig=29.977 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-03-01_OBS-R.jpg
1864	03	02	00	00	24	29.570	|	orig=29.570 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-03-01_OBS-R.jpg
1864	03	03	00	00	24	29.743	|	orig=29.743 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-03-01_OBS-R.jpg
1864	03	04	00	00	24	29.641	|	orig=29.641 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-03-01_OBS-R.jpg
1864	03	05	00	00	24	29.778	|	orig=29.778 inHg|Local time: mean|QC flag: none|Image File: SaintJohn_USSI-201_M1958_1864-03-01_OBS-R.jpg
