SEF	1.0.0
ID	WinnipegCanada
Name	Winnipeg
Source	ODR
Lat	49.867
Lon	266.0
Alt	198
Link	https://opendatarescue.org
Vbl	p
Stat	mean
Unit	hPa
Meta		UTCOffset=Applied	UTCOffset=6
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1869	1	1	0	0	24	-999.0	|	Value removed
1869	1	2	0	0	24	-999.0	|	Value removed
1869	1	3	0	0	24	-999.0	|	Value removed
1869	1	4	0	0	24	-999.0	|	Value removed
1869	1	5	0	0	24	-999.0	|	Value removed
1869	1	6	0	0	24	-999.0	|	Value removed
1869	1	7	0	0	24	-999.0	|	Value removed
1869	1	8	0	0	24	-999.0	|	Value removed
1869	1	9	0	0	24	-999.0	|	Value removed
1869	1	10	0	0	24	-999.0	|	Value removed
1869	1	11	0	0	24	-999.0	|	Value removed
1869	1	12	0	0	24	-999.0	|	Value removed
1869	1	13	0	0	24	-999.0	|	Value removed
1869	1	14	0	0	24	-999.0	|	Value removed
1869	1	15	0	0	24	-999.0	|	Value removed
1869	1	16	0	0	24	-999.0	|	Value removed
1869	1	17	0	0	24	-999.0	|	Value removed
1869	1	18	0	0	24	-999.0	|	Value removed
1869	1	19	0	0	24	-999.0	|	Value removed
1869	1	20	0	0	24	-999.0	|	Value removed
1869	1	21	0	0	24	-999.0	|	Value removed
1869	1	22	0	0	24	-999.0	|	Value removed
1869	1	23	0	0	24	-999.0	|	Value removed
1869	1	24	0	0	24	-999.0	|	Value removed
1869	1	25	0	0	24	-999.0	|	Value removed
1869	1	26	0	0	24	-999.0	|	Value removed
1869	1	27	0	0	24	-999.0	|	Value removed
1869	1	28	0	0	24	-999.0	|	Value removed
1869	1	29	0	0	24	-999.0	|	Value removed
1869	1	30	0	0	24	-999.0	|	Value removed
1869	1	31	0	0	24	-999.0	|	Value removed
1869	2	1	0	0	24	-999.0	|	Value removed
1869	2	2	0	0	24	-999.0	|	Value removed
1869	2	3	0	0	24	-999.0	|	Value removed
1869	2	4	0	0	24	-999.0	|	Value removed
1869	2	5	0	0	24	-999.0	|	Value removed
1869	2	6	0	0	24	-999.0	|	Value removed
1869	2	7	0	0	24	-999.0	|	Value removed
1869	2	8	0	0	24	-999.0	|	Value removed
1869	2	9	0	0	24	-999.0	|	Value removed
1869	2	10	0	0	24	-999.0	|	Value removed
1869	2	11	0	0	24	-999.0	|	Value removed
1869	2	12	0	0	24	-999.0	|	Value removed
1869	2	13	0	0	24	-999.0	|	Value removed
1869	2	14	0	0	24	-999.0	|	Value removed
1869	2	15	0	0	24	-999.0	|	Value removed
1869	2	16	0	0	24	-999.0	|	Value removed
1869	2	17	0	0	24	-999.0	|	Value removed
1869	2	18	0	0	24	-999.0	|	Value removed
1869	2	19	0	0	24	-999.0	|	Value removed
1869	2	20	0	0	24	-999.0	|	Value removed
1869	2	21	0	0	24	-999.0	|	Value removed
1869	2	22	0	0	24	-999.0	|	Value removed
1869	2	23	0	0	24	-999.0	|	Value removed
1869	2	24	0	0	24	-999.0	|	Value removed
1869	2	25	0	0	24	-999.0	|	Value removed
1869	2	26	0	0	24	-999.0	|	Value removed
1869	2	27	0	0	24	-999.0	|	Value removed
1869	2	28	0	0	24	-999.0	|	Value removed
1869	3	1	0	0	24	-999.0	|	Value removed
1869	3	2	0	0	24	-999.0	|	Value removed
1869	3	3	0	0	24	-999.0	|	Value removed
1869	3	4	0	0	24	-999.0	|	Value removed
1869	3	5	0	0	24	-999.0	|	Value removed
1869	3	6	0	0	24	-999.0	|	Value removed
1869	3	7	0	0	24	-999.0	|	Value removed
1869	3	8	0	0	24	-999.0	|	Value removed
1869	3	9	0	0	24	-999.0	|	Value removed
1869	3	10	0	0	24	-999.0	|	Value removed
1869	3	11	0	0	24	-999.0	|	Value removed
1869	3	12	0	0	24	-999.0	|	Value removed
1869	3	13	0	0	24	-999.0	|	Value removed
1869	3	14	0	0	24	-999.0	|	Value removed
1869	3	15	0	0	24	-999.0	|	Value removed
1869	3	16	0	0	24	-999.0	|	Value removed
1869	3	17	0	0	24	-999.0	|	Value removed
1869	3	18	0	0	24	-999.0	|	Value removed
1869	3	19	0	0	24	-999.0	|	Value removed
1869	3	20	0	0	24	-999.0	|	Value removed
1869	3	21	0	0	24	-999.0	|	Value removed
1869	3	22	0	0	24	-999.0	|	Value removed
1869	3	23	0	0	24	-999.0	|	Value removed
1869	3	24	0	0	24	-999.0	|	Value removed
1869	3	25	0	0	24	-999.0	|	Value removed
1869	3	26	0	0	24	-999.0	|	Value removed
1869	3	27	0	0	24	-999.0	|	Value removed
1869	3	28	0	0	24	-999.0	|	Value removed
1869	3	29	0	0	24	-999.0	|	Value removed
1869	3	30	0	0	24	-999.0	|	Value removed
1869	3	31	0	0	24	-999.0	|	Value removed
1869	4	1	0	0	24	-999.0	|	Value removed
1869	4	2	0	0	24	-999.0	|	Value removed
1869	4	3	0	0	24	-999.0	|	Value removed
1869	4	4	0	0	24	-999.0	|	Value removed
1869	4	5	0	0	24	-999.0	|	Value removed
1869	4	6	0	0	24	-999.0	|	Value removed
1869	4	7	0	0	24	-999.0	|	Value removed
