SEF	1.0.0
ID	WinnipegCanada
Name	Winnipeg
Lat	49.867
Lon	266.0
Alt	198
Source	ODR
Link	https://opendatarescue.org
Vbl	p
Stat	point
Unit	hPa
Meta		UTCOffset=Applied	UTCOffset=6
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1869	01	01	13	00	0	28.051	|	orig=28.051 inHg|Local time: 0700|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	01	20	00	0	27.934	|	orig=27.934 inHg|Local time: 1400|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	02	03	00	0	27.861	|	orig=27.861 inHg|Local time: 2100|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	02	13	00	0	27.656	|	orig=27.656 inHg|Local time: 0700|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	02	20	00	0	27.518	|	orig=27.518 inHg|Local time: 1400|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	03	03	00	0	27.476	|	orig=27.476 inHg|Local time: 2100|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	03	13	00	0	27.401	|	orig=27.401 inHg|Local time: 0700|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	03	20	00	0	27.489	|	orig=27.489 inHg|Local time: 1400|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	04	03	00	0	27.470	|	orig=27.470 inHg|Local time: 2100|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	04	13	00	0	27.639	|	orig=27.639 inHg|Local time: 0700|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	04	20	00	0	27.668	|	orig=27.668 inHg|Local time: 1400|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	05	03	00	0	27.774	|	orig=27.774 inHg|Local time: 2100|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	05	13	00	0	27.674	|	orig=27.674 inHg|Local time: 0700|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	05	20	00	0	27.505	|	orig=27.505 inHg|Local time: 1400|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	06	03	00	0	27.743	|	orig=27.743 inHg|Local time: 2100|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	06	13	00	0	27.437	|	orig=27.437 inHg|Local time: 0700|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	06	20	00	0	27.300	|	orig=27.300 inHg|Local time: 1400|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	07	03	00	0	27.322	|	orig=27.322 inHg|Local time: 2100|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	07	13	00	0	27.827	|	orig=27.827 inHg|Local time: 0700|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	07	20	00	0	27.947	|	orig=27.947 inHg|Local time: 1400|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	08	03	00	0	28.114	|	orig=28.114 inHg|Local time: 2100|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	08	13	00	0	28.013	|	orig=28.013 inHg|Local time: 0700|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	08	20	00	0	27.867	|	orig=27.867 inHg|Local time: 1400|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	09	03	00	0	27.809	|	orig=27.809 inHg|Local time: 2100|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	09	13	00	0	27.848	|	orig=27.848 inHg|Local time: 0700|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	09	20	00	0	27.884	|	orig=27.884 inHg|Local time: 1400|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	10	03	00	0	27.965	|	orig=27.965 inHg|Local time: 2100|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	10	13	00	0	27.887	|	orig=27.887 inHg|Local time: 0700|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	10	20	00	0	27.755	|	orig=27.755 inHg|Local time: 1400|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	11	03	00	0	27.679	|	orig=27.679 inHg|Local time: 2100|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	11	13	00	0	27.677	|	orig=27.677 inHg|Local time: 0700|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	11	20	00	0	27.596	|	orig=27.596 inHg|Local time: 1400|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	12	03	00	0	27.624	|	orig=27.624 inHg|Local time: 2100|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	12	13	00	0	27.657	|	orig=27.657 inHg|Local time: 0700|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	12	20	00	0	27.670	|	orig=27.670 inHg|Local time: 1400|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	13	03	00	0	27.673	|	orig=27.673 inHg|Local time: 2100|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	13	13	00	0	27.707	|	orig=27.707 inHg|Local time: 0700|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	13	20	00	0	27.674	|	orig=27.674 inHg|Local time: 1400|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	14	03	00	0	27.631	|	orig=27.631 inHg|Local time: 2100|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	14	13	00	0	27.784	|	orig=27.784 inHg|Local time: 0700|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	14	20	00	0	27.847	|	orig=27.847 inHg|Local time: 1400|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
1869	01	15	03	00	0	27.920	|	orig=27.920 inHg|Local time: 2100|QC flag: low value|Image File: Winnipeg_USSI-401_M1958_1869-01-01_OBS-R.jpg
