SEF	1.0.0
ID	MichipocotonCanada
Name	Michipocoton
Lat	47.99
Lon	275.23
Alt	201
Source	ODR
Link	https://opendatarescue.org
Vbl	hd
Stat	point
Unit	deg
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1860	11	01	12	00	0	0	|	orig=North dir|Local time: 0700|QC flag: passed|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	01	19	00	0	0	|	orig=North dir|Local time: 1400|QC flag: passed|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	02	12	00	0	0	|	orig=North dir|Local time: 0700|QC flag: passed|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	02	19	00	0	0	|	orig=North dir|Local time: 1400|QC flag: passed|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	04	12	00	0	0	|	orig=North dir|Local time: 0700|QC flag: passed|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	07	12	00	0	225	|	orig=South-West dir|Local time: 0700|QC flag: passed|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	07	19	00	0	225	|	orig=South-West dir|Local time: 1400|QC flag: passed|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1861	07	25	02	00	0	-999	|	orig=["[\"\"]"] dir|Local time: 2100|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-07-01_OBS-F.jpg
1861	08	01	12	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	01	19	00	0	-999	|	orig=Empty dir|Local time: 1400|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	02	02	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	02	12	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	02	19	00	0	-999	|	orig=Empty dir|Local time: 1400|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	03	02	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	03	12	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	03	19	00	0	-999	|	orig=Empty dir|Local time: 1400|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	04	02	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	04	12	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	04	19	00	0	-999	|	orig=Empty dir|Local time: 1400|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	05	02	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	05	12	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	05	19	00	0	-999	|	orig=Empty dir|Local time: 1400|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	06	02	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	06	12	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	06	19	00	0	-999	|	orig=Empty dir|Local time: 1400|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	07	02	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	07	12	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	07	19	00	0	-999	|	orig=Empty dir|Local time: 1400|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	08	02	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	08	12	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	08	19	00	0	-999	|	orig=Empty dir|Local time: 1400|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	09	02	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	09	12	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	09	19	00	0	-999	|	orig=Empty dir|Local time: 1400|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
1861	08	10	02	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-08-01_OBS-F.jpg
