SEF	1.0.0
ID	MichipocotonCanada
Name	Michipocoton
Lat	47.99
Lon	275.23
Alt	201
Source	ODR
Link	https://opendatarescue.org
Vbl	pte
Stat	point
Unit	hour
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1860	11	01	00	00	24	"	|	orig=" hr|Local time: mean|QC flag: passed|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	02	00	00	24	9:00 am	|	orig=9:00 am hr|Local time: mean|QC flag: passed|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	08	00	00	24	3:00 pm	|	orig=3:00 pm hr|Local time: mean|QC flag: passed|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	14	00	00	24	5:00 pm	|	orig=5:00 pm hr|Local time: mean|QC flag: passed|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	20	00	00	24	-999	|	orig= hr|Local time: mean|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	21	00	00	24	-999	|	orig= hr|Local time: mean|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1861	01	27	00	00	24	-999	|	orig= hr|Local time: mean|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-01-01_OBS-F.jpg
1861	02	19	00	00	24	-999	|	orig= hr|Local time: mean|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1861-02-01_OBS-F.jpg
1862	01	01	00	00	24	-999	|	orig=Empty hr|Local time: mean|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	07	00	00	24	-999	|	orig=Empty hr|Local time: mean|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	01	08	00	00	24	-999	|	orig= hr|Local time: mean|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1862-01-01_OBS-F.jpg
1862	02	01	00	00	24	-999	|	orig= hr|Local time: mean|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1862-02-01_OBS-F.jpg
1862	03	03	00	00	24	-999	|	orig= hr|Local time: mean|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1862-03-01_OBS-F.jpg
1862	03	27	00	00	24	-999	|	orig= hr|Local time: mean|QC flag: missing|Image File: Michipocoton_USSI-206_M1958_1862-03-01_OBS-F.jpg
1862	08	03	00	00	24	-999	|	orig= hr|Local time: mean|QC flag: missing|Image File: Michipocoton_USSI-401_M1958_1862-08-01_OBS-L.jpg
