SEF	1.0.0
ID	RigoletCanada
Name	Rigolet
Lat	54.18
Lon	301.46
Alt	unknown
Source	ODR
Link	https://opendatarescue.org
Vbl	ww
Stat	point
Unit	manual observation
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1860	08	01	00	00	24	RA	|	orig=cloudy rain mno|Local time: mean|QC flag: passed|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	02	00	00	24	-999	|	orig=cloudy mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	03	00	00	24	-999	|	orig=cloudy mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	04	00	00	24	-999	|	orig=cloudy mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	05	00	00	24	-999	|	orig=clear mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	06	00	00	24	-999	|	orig=clear mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	07	00	00	24	-999	|	orig=clear mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	08	00	00	24	-999	|	orig=clear mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	09	00	00	24	RA	|	orig=rain mno|Local time: mean|QC flag: passed|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	10	00	00	24	-999	|	orig=cloudy mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	12	00	00	24	-999	|	orig=clear mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	14	00	00	24	RA	|	orig=rain mno|Local time: mean|QC flag: passed|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	15	00	00	24	RA	|	orig=rain mno|Local time: mean|QC flag: passed|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	16	00	00	24	RA	|	orig=rain mno|Local time: mean|QC flag: passed|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	17	00	00	24	-999	|	orig=clear mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	18	00	00	24	-999	|	orig=cloudy mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	19	00	00	24	-999	|	orig=clear mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	20	00	00	24	-999	|	orig=clear mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	21	00	00	24	-999	|	orig=clear mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	22	00	00	24	-999	|	orig=cloudy mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	23	00	00	24	FG	|	orig=cloudy think fog mno|Local time: mean|QC flag: passed|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	24	00	00	24	RA	|	orig=fog + rain mno|Local time: mean|QC flag: passed|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	25	00	00	24	-999	|	orig=clear mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	26	00	00	24	RA	|	orig=rain mno|Local time: mean|QC flag: passed|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	27	00	00	24	-999	|	orig=cloudy mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	28	00	00	24	-999	|	orig=clear mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	29	00	00	24	-999	|	orig=clear mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	30	00	00	24	RA	|	orig=rain mno|Local time: mean|QC flag: passed|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1860	08	31	00	00	24	-999	|	orig=cloudy mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-206_M1958_1860-08-01_OBS-F.jpg
1861	01	02	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-401_M1958_1861-01-01_CP.jpg
1861	01	02	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-401_M1958_1861-01-01_CP.jpg
1861	01	02	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-401_M1958_1861-01-01_CP.jpg
1861	01	02	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-401_M1958_1861-01-01_CP.jpg
1861	01	02	00	00	24	AU	|	orig=The Aurora Borealis E to N to S to W at 749 pm mno|Local time: mean|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_CP.jpg
1861	01	03	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-401_M1958_1861-01-01_CP.jpg
1861	01	03	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-401_M1958_1861-01-01_CP.jpg
1861	01	03	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-401_M1958_1861-01-01_CP.jpg
1861	01	03	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-401_M1958_1861-01-01_CP.jpg
1861	01	03	00	00	24	-999	|	orig=Borealis E to N all mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-401_M1958_1861-01-01_CP.jpg
1861	01	04	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-401_M1958_1861-01-01_CP.jpg
1861	01	04	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-401_M1958_1861-01-01_CP.jpg
1861	01	04	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-401_M1958_1861-01-01_CP.jpg
1861	01	04	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-401_M1958_1861-01-01_CP.jpg
1861	01	04	00	00	24	HALO	|	orig=halo around the sun all day mno|Local time: mean|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_CP.jpg
1861	01	05	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-401_M1958_1861-01-01_CP.jpg
1861	01	05	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-401_M1958_1861-01-01_CP.jpg
1861	01	05	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-401_M1958_1861-01-01_CP.jpg
1861	01	05	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-401_M1958_1861-01-01_CP.jpg
1861	01	05	00	00	24	HALO	|	orig=Halo round the Sun all day mno|Local time: mean|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_CP.jpg
1861	01	06	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-401_M1958_1861-01-01_CP.jpg
1861	01	06	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Rigolet_USSI-401_M1958_1861-01-01_CP.jpg
