SEF	1.0.0
ID	RigoletCanada
Name	Rigolet
Lat	54.18
Lon	301.46
Alt	unknown
Source	ODR
Link	https://opendatarescue.org
Vbl	p
Stat	point
Unit	hPa
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1861	01	01	11	00	0	28.53	|	orig=28.53 inHg|Local time: 0700|QC flag: none|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	01	18	00	0	28.62	|	orig=28.62 inHg|Local time: 1400|QC flag: none|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	02	01	00	0	28.61	|	orig=28.61 inHg|Local time: 2100|QC flag: none|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	02	11	00	0	28.65	|	orig=28.65 inHg|Local time: 0700|QC flag: none|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	02	18	00	0	28.63	|	orig=28.63 inHg|Local time: 1400|QC flag: none|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	03	01	00	0	28.60	|	orig=28.60 inHg|Local time: 2100|QC flag: none|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	03	11	00	0	28.81	|	orig=28.81 inHg|Local time: 0700|QC flag: none|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	03	18	00	0	28.90	|	orig=28.90 inHg|Local time: 1400|QC flag: none|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	04	01	00	0	28.95	|	orig=28.95 inHg|Local time: 2100|QC flag: none|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	04	11	00	0	28.89	|	orig=28.89 inHg|Local time: 0700|QC flag: none|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	04	18	00	0	28.70	|	orig=28.70 inHg|Local time: 1400|QC flag: none|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	05	01	00	0	28.43	|	orig=28.43 inHg|Local time: 2100|QC flag: low value|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	05	11	00	0	28.75	|	orig=28.75 inHg|Local time: 0700|QC flag: none|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	05	18	00	0	28.65	|	orig=28.65 inHg|Local time: 1400|QC flag: none|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	06	01	00	0	28.65	|	orig=28.65 inHg|Local time: 2100|QC flag: none|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	06	11	00	0	28.69	|	orig=28.69 inHg|Local time: 0700|QC flag: none|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	06	18	00	0	28.60	|	orig=28.60 inHg|Local time: 1400|QC flag: none|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-R.jpg
1861	01	07	01	00	0	28.65	|	orig=28.65 inHg|Local time: 2100|QC flag: none|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-R.jpg
