SEF	1.0.0
ID	RigoletCanada
Name	Rigolet
Lat	54.18
Lon	301.46
Alt	unknown
Source	ODR
Link	https://opendatarescue.org
Vbl	cd
Stat	point
Unit	deg
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1861	01	01	11	00	0	315	|	orig=North-West dir|Local time: 0700|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	04	18	00	0	270	|	orig=West dir|Local time: 1400|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	11	18	00	0	135	|	orig=South-East dir|Local time: 1400|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	12	18	00	0	315	|	orig=North-West dir|Local time: 1400|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	13	18	00	0	315	|	orig=North-West dir|Local time: 1400|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	14	11	00	0	315	|	orig=North-West dir|Local time: 0700|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	14	18	00	0	315	|	orig=North-West dir|Local time: 1400|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	15	11	00	0	315	|	orig=North-West dir|Local time: 0700|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	15	18	00	0	315	|	orig=North-West dir|Local time: 1400|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	16	11	00	0	0	|	orig=North dir|Local time: 0700|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	16	18	00	0	0	|	orig=North dir|Local time: 1400|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	17	18	00	0	0	|	orig=North dir|Local time: 1400|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	18	11	00	0	315	|	orig=North-West dir|Local time: 0700|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	18	18	00	0	315	|	orig=North-West dir|Local time: 1400|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	19	18	00	0	315	|	orig=North-West dir|Local time: 1400|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	20	18	00	0	0	|	orig=North dir|Local time: 1400|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	21	11	00	0	0	|	orig=North dir|Local time: 0700|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	21	18	00	0	0	|	orig=North dir|Local time: 1400|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	22	11	00	0	0	|	orig=North dir|Local time: 0700|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	22	18	00	0	0	|	orig=North dir|Local time: 1400|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	23	11	00	0	0	|	orig=North dir|Local time: 0700|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	23	18	00	0	0	|	orig=North dir|Local time: 1400|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	25	18	00	0	225	|	orig=South-West dir|Local time: 1400|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	26	11	00	0	0	|	orig=North dir|Local time: 0700|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	26	18	00	0	0	|	orig=North dir|Local time: 1400|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	28	11	00	0	0	|	orig=North dir|Local time: 0700|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	28	18	00	0	0	|	orig=North dir|Local time: 1400|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	30	11	00	0	90	|	orig=East dir|Local time: 0700|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	03	01	11	00	0	315	|	orig=North-West dir|Local time: 0700|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	01	18	00	0	315	|	orig=North-West dir|Local time: 1400|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	02	11	00	0	315	|	orig=North-West dir|Local time: 0700|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	03	11	00	0	315	|	orig=North-West dir|Local time: 0700|QC flag: passed|Image File: Rigolet_USSI-401_M1958_1861-03-01_OBS-L.jpg
