SEF	1.0.0
ID	StJohnsCanada
Name	StJohnsNFLDCas
Lat	47.55
Lon	307.28
Alt	37.6
Source	ODR
Link	https://opendatarescue.org
Vbl	c
Stat	point
Unit	cloudatlas
Meta		UTCOffset=Applied	UTCOffset=3.5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1868	11	01	10	30	0	Ch6	|	orig=Cirrus lct|Local time: 0700|QC flag: passed|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	01	17	30	0	Ch6	|	orig=Cirrus lct|Local time: 1400|QC flag: passed|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	02	00	30	0	Cl6	|	orig=Stratus lct|Local time: 2100|QC flag: passed|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	02	10	30	0	-999	|	orig=- lct|Local time: 0700|QC flag: missing|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	02	17	30	0	-999	|	orig=Cirrus Cirro-stratus lct|Local time: 1400|QC flag: missing|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	03	00	30	0	Ch8	|	orig=Cirro-stratus lct|Local time: 2100|QC flag: passed|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	03	10	30	0	Ch9	|	orig=Cirro-cumulus lct|Local time: 0700|QC flag: passed|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	03	17	30	0	-999	|	orig=Stratus Fog lct|Local time: 1400|QC flag: missing|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	04	00	30	0	Cl7	|	orig=Nimbus lct|Local time: 2100|QC flag: passed|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	04	10	30	0	Cl/	|	orig=Fog lct|Local time: 0700|QC flag: passed|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	04	17	30	0	-999	|	orig=Stratus Fog lct|Local time: 1400|QC flag: missing|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	05	00	30	0	Cl7	|	orig=Nimbus lct|Local time: 2100|QC flag: passed|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	05	10	30	0	Cl/	|	orig=Fog lct|Local time: 0700|QC flag: passed|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	05	17	30	0	-999	|	orig=Nimbus Cirro-stratus lct|Local time: 1400|QC flag: missing|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	06	00	30	0	Cl7	|	orig=Nimbus lct|Local time: 2100|QC flag: passed|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	06	10	30	0	Cl7	|	orig=Nimbus lct|Local time: 0700|QC flag: passed|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	06	17	30	0	Cl7	|	orig=Nimbus lct|Local time: 1400|QC flag: passed|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	07	00	30	0	Cl7	|	orig=Nimbus lct|Local time: 2100|QC flag: passed|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	07	10	30	0	Cl7	|	orig=Nimbus lct|Local time: 0700|QC flag: passed|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	07	17	30	0	-999	|	orig=Stratus Nimbus lct|Local time: 1400|QC flag: missing|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	08	00	30	0	Cl0	|	orig=0 lct|Local time: 2100|QC flag: passed|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	08	10	30	0	Cl7	|	orig=Nimbus lct|Local time: 0700|QC flag: passed|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
1868	11	08	17	30	0	Cl7	|	orig=Nimbus lct|Local time: 1400|QC flag: passed|Image File: StJohnsNFLDCas_USSI-401_M1958_1868-11-01_OBS-L.jpg
