SEF	1.0.0
ID	StJohnsCanada
Name	StJohnsNFLD-Del
Lat	47.56
Lon	307.30
Alt	51.8
Source	ODR
Link	https://opendatarescue.org
Vbl	dd
Stat	point
Unit	deg
Meta		UTCOffset=Applied	UTCOffset=3.5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1856	12	01	10	30	0	315	|	orig=North-West dir|Local time: 0700|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	01	17	30	0	315	|	orig=North-West dir|Local time: 1400|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	02	00	30	0	315	|	orig=North-West dir|Local time: 2100|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	02	10	30	0	315	|	orig=North-West dir|Local time: 0700|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	02	17	30	0	315	|	orig=North-West dir|Local time: 1400|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	03	00	30	0	315	|	orig=North-West dir|Local time: 2100|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	03	10	30	0	315	|	orig=North-West dir|Local time: 0700|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	03	17	30	0	315	|	orig=North-West dir|Local time: 1400|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	04	00	30	0	315	|	orig=North-West dir|Local time: 2100|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	04	10	30	0	180	|	orig=South dir|Local time: 0700|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	04	17	30	0	180	|	orig=South dir|Local time: 1400|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	05	00	30	0	180	|	orig=South dir|Local time: 2100|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	05	10	30	0	180	|	orig=South dir|Local time: 0700|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	05	17	30	0	180	|	orig=South dir|Local time: 1400|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	06	00	30	0	180	|	orig=South dir|Local time: 2100|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	06	10	30	0	0	|	orig=North dir|Local time: 0700|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
