SEF	1.0.0
ID	StJohnsCanada
Name	StJohnsNFLD-Del
Lat	47.56
Lon	307.30
Alt	51.8
Source	ODR
Link	https://opendatarescue.org
Vbl	tb
Stat	point
Unit	C
Meta		UTCOffset=Applied	UTCOffset=3.5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1872	08	01	10	30	0	15.56	|	orig=60.0 F|Local time: 0700|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	01	17	30	0	16.67	|	orig=62.0 F|Local time: 1400|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	02	00	30	0	17.78	|	orig=64.0 F|Local time: 2100|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	02	10	30	0	11.67	|	orig=53 F|Local time: 0700|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	02	17	30	0	13.89	|	orig=57.0 F|Local time: 1400|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	03	00	30	0	11.11	|	orig=52.0 F|Local time: 2100|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	03	10	30	0	14.17	|	orig=57.5 F|Local time: 0700|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	03	17	30	0	17.22	|	orig=63.0 F|Local time: 1400|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	04	00	30	0	10.00	|	orig=50.0 F|Local time: 2100|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	04	10	30	0	11.11	|	orig=52.0 F|Local time: 0700|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	04	17	30	0	11.67	|	orig=53.0 F|Local time: 1400|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	05	00	30	0	10.56	|	orig=51.0 F|Local time: 2100|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	05	10	30	0	11.94	|	orig=53.5 F|Local time: 0700|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	05	17	30	0	11.39	|	orig=52.5 F|Local time: 1400|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	06	00	30	0	10.00	|	orig=50.0 F|Local time: 2100|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	06	10	30	0	9.44	|	orig=49.0 F|Local time: 0700|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	06	17	30	0	10.83	|	orig=51.5 F|Local time: 1400|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	07	00	30	0	7.78	|	orig=46.0 F|Local time: 2100|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	07	10	30	0	10.00	|	orig=50.0 F|Local time: 0700|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	07	17	30	0	10.00	|	orig=50.0 F|Local time: 1400|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	08	00	30	0	10.00	|	orig=50.0 F|Local time: 2100|QC flag: passed|Image File: StJohnsNFLD-Del_USSI-401_M1958_1872-08-01_OBS-R.jpg
