SEF	1.0.0
ID	WinnipegCanada
Name	Winnipeg
Lat	49.867
Lon	266.0
Alt	198
Source	ODR
Link	https://opendatarescue.org
Vbl	ww
Stat	point
Unit	manual observation
Meta		UTCOffset=Applied	UTCOffset=6
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1869	01	04	00	00	24	AU	|	orig=A thin auroral vapor in N and NE at an altitude of 15 deg. Time betweeen 8:00 and 10:30 pm. mno|Local time: mean|QC flag: passed|Image File: Winnipeg_USSI-401_M1958_1869-01-01_CP.jpg
1869	01	05	00	00	24	AU	|	orig=An aurora of the same characteristics as that of last evening. mno|Local time: mean|QC flag: passed|Image File: Winnipeg_USSI-401_M1958_1869-01-01_CP.jpg
1869	01	07	00	00	24	AU	|	orig=An aurora extending from NW to NE in the form of an arch about 30 deg high greatest intensity - 9:15 pm. mno|Local time: mean|QC flag: passed|Image File: Winnipeg_USSI-401_M1958_1869-01-01_CP.jpg
1869	01	13	00	00	24	HALO	|	orig=A bright solar halo on the east side of the sun at 9:45 am. mno|Local time: mean|QC flag: passed|Image File: Winnipeg_USSI-401_M1958_1869-01-01_CP.jpg
1869	01	19	00	00	24	AU	|	orig=A thin milky aurora in the N at 7:30 pm. Duration about 2 hours. mno|Local time: mean|QC flag: passed|Image File: Winnipeg_USSI-401_M1958_1869-01-01_CP.jpg
1869	01	26	00	00	24	HALO	|	orig=Two brilliant halos, one on each side of the sun at 5:30 am. mno|Local time: mean|QC flag: passed|Image File: Winnipeg_USSI-401_M1958_1869-01-01_CP.jpg
1869	01	31	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-01-01_CP.jpg
1869	01	31	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-01-01_CP.jpg
1869	01	31	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-01-01_CP.jpg
1869	01	31	00	00	24	-999	|	orig=A beautiful white column of light preceding from the sun at an height of 45 deg, appeared the hour of about 5:30 pm or just a little before sunset, mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-01-01_CP.jpg
1869	01	31	00	00	24	-999	|	orig=at the same time a magnificent arch of various colors extended northward from the sun. These phenomena continued until sunset. mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-01-01_CP.jpg
1869	02	02	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-02-01_CP.jpg
1869	02	02	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-02-01_CP.jpg
1869	02	02	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-02-01_CP.jpg
1869	02	02	00	00	24	-999	|	orig=TImes between 7 and 11 pm mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-02-01_CP.jpg
1869	02	02	00	00	24	AU	|	orig=An aurora consisting of a bright arch in the northern part of the sky at an altitude of about 30 deg mno|Local time: mean|QC flag: passed|Image File: Winnipeg_USSI-401_M1958_1869-02-01_CP.jpg
1869	02	03	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-02-01_CP.jpg
1869	02	03	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-02-01_CP.jpg
1869	02	03	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-02-01_CP.jpg
1869	02	03	00	00	24	-999	|	orig=7 PM and lasted throughout the night mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-02-01_CP.jpg
1869	02	03	00	00	24	AU	|	orig=A splendid aurora from E to W with a magnificent corona of various hues in the zenith. Commenced at mno|Local time: mean|QC flag: passed|Image File: Winnipeg_USSI-401_M1958_1869-02-01_CP.jpg
1869	02	04	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-02-01_CP.jpg
1869	02	04	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-02-01_CP.jpg
1869	02	04	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-02-01_CP.jpg
1869	02	04	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-02-01_CP.jpg
1869	02	04	00	00	24	AU	|	orig=An aurora of the same character as that of last night commenced at 6.30 p.m. lasted all night mno|Local time: mean|QC flag: passed|Image File: Winnipeg_USSI-401_M1958_1869-02-01_CP.jpg
1869	02	08	00	00	24	FG	|	orig=Heavy fog in the morning which continued until 10.30 a. m. mno|Local time: mean|QC flag: passed|Image File: Winnipeg_USSI-401_M1958_1869-02-01_CP.jpg
1869	02	17	00	00	24	AU	|	orig=Streamers of an aurora in the northerm horizon between the hours of 8 and 10 pm mno|Local time: mean|QC flag: passed|Image File: Winnipeg_USSI-401_M1958_1869-02-01_CP.jpg
1869	02	28	00	00	24	-999	|	orig=This has been the mildest winter known in this country for twenty years. The weather has, in general, been dry and healthy and not excessively cold mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-02-01_CP.jpg
1869	03	01	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-03-01_CP.jpg
1869	03	01	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-03-01_CP.jpg
1869	03	01	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-03-01_CP.jpg
1869	03	01	00	00	24	-999	|	orig=about 25 deg which subsequently broke up into streamers of various shapes, the phenomena ended at 10.30pm mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-03-01_CP.jpg
1869	03	01	00	00	24	AU	|	orig=A brillant aurora commenced 7.15 P.M. consisting of a beautiful arch from N to NE altitude about mno|Local time: mean|QC flag: passed|Image File: Winnipeg_USSI-401_M1958_1869-03-01_CP.jpg
1869	03	02	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-03-01_CP.jpg
1869	03	02	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-03-01_CP.jpg
1869	03	02	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-03-01_CP.jpg
1869	03	02	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-03-01_CP.jpg
1869	03	02	00	00	24	HALO	|	orig=A solar halo at 7 a. m. mno|Local time: mean|QC flag: passed|Image File: Winnipeg_USSI-401_M1958_1869-03-01_CP.jpg
1869	03	09	00	00	24	AU	|	orig=Solar halo at 6.30 a.m. a soft milky auroral vapor at 8.3 p.m. mno|Local time: mean|QC flag: passed|Image File: Winnipeg_USSI-401_M1958_1869-03-01_CP.jpg
1869	03	14	00	00	24	AU	|	orig=a brilliant aurora with a corona in the zenith commenced 7.15 PM ended 9.40 PM mno|Local time: mean|QC flag: passed|Image File: Winnipeg_USSI-401_M1958_1869-03-01_CP.jpg
1869	03	17	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-03-01_CP.jpg
1869	03	17	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-03-01_CP.jpg
1869	03	17	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-03-01_CP.jpg
1869	03	17	00	00	24	-999	|	orig=an arch extended from NW to NE altitude 40 deg commenced 8.15 pm ended 11.30 pm mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-03-01_CP.jpg
1869	03	17	00	00	24	AU	|	orig=An aurora in the zenith had the appearance of two fans on[e] going S the other N at the same time mno|Local time: mean|QC flag: passed|Image File: Winnipeg_USSI-401_M1958_1869-03-01_CP.jpg
1869	03	22	00	00	24	-999	|	orig=Wind suddenly shifted from S to N at 4.50 pm and blew very hard for about two hours mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-03-01_CP.jpg
1869	03	25	00	00	24	FG	|	orig=Heavy fog in the morning which cleared off about 9.30 AM mno|Local time: mean|QC flag: passed|Image File: Winnipeg_USSI-401_M1958_1869-03-01_CP.jpg
1869	03	30	00	00	24	AU	|	orig=An auroral arch from N to E height about 10 deg  commneced 7 PM ended 9pm mno|Local time: mean|QC flag: passed|Image File: Winnipeg_USSI-401_M1958_1869-03-01_CP.jpg
1869	03	31	00	00	24	AU	|	orig=Two auroral arches from N to E giving a very grand appearance altitude 30 deg com 4.15 PM ended 10PM mno|Local time: mean|QC flag: passed|Image File: Winnipeg_USSI-401_M1958_1869-03-01_CP.jpg
1869	04	02	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-04-01_CP.jpg
1869	04	02	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-04-01_CP.jpg
1869	04	02	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-04-01_CP.jpg
1869	04	02	00	00	24	-999	|	orig= mno|Local time: mean|QC flag: missing|Image File: Winnipeg_USSI-401_M1958_1869-04-01_CP.jpg
