SEF	1.0.0
ID	WolfvilleCanada
Name	Wolfville
Lat	45.08
Lon	295.65
Alt	198
Source	ODR
Link	https://opendatarescue.org
Vbl	ww
Stat	point
Unit	manual observation
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1855	09	01	00	00	24	RA	|	orig=Commenced raining a little at 1/2 past 11 A.M. – showering mno|Local time: mean|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	02	00	00	24	RA	|	orig=Showering – at 8 P.M.    rains fast mno|Local time: mean|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	03	00	00	24	-999	|	orig=Fair weather mno|Local time: mean|QC flag: missing|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	05	00	00	24	SH	|	orig=Prospect of showers at 6 P.M.  2 inch   clear at 11 P.M. mno|Local time: mean|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	08	00	00	24	SH	|	orig=Shower at 1 A.M.   Very fair mno|Local time: mean|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	09	00	00	24	-888	|	orig=[illegible]... occasional drops of rain... [illegible] mno|Local time: mean|QC flag: illegible|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	10	00	00	24	AU	|	orig=Very fine weather    Aurora mno|Local time: mean|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	11	00	00	24	AU	|	orig=Very fine weather    Aurora mno|Local time: mean|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	12	00	00	24	AU	|	orig=Very fine weather    Aurora mno|Local time: mean|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	13	00	00	24	-888	|	orig=[illegible] in morn. – Shower at 1 1/2 – Cooler – Aurora in [illegible] mno|Local time: mean|QC flag: illegible|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	14	00	00	24	AU	|	orig=Beautiful Aurora (at 11 1/2 P.M.) (arch very low) mno|Local time: mean|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	15	00	00	24	FRST	|	orig=Frost – very fine mno|Local time: mean|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	16	00	00	24	-999	|	orig=Beautiful weather mno|Local time: mean|QC flag: missing|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	17	00	00	24	AU	|	orig=Aurora mno|Local time: mean|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	18	00	00	24	RA	|	orig=Rain most of that day – sky clear 10P.M. + Aurora mno|Local time: mean|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	19	00	00	24	AU	|	orig=A fine day      Aurora mno|Local time: mean|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	20	00	00	24	-999	|	orig=Fine weather mno|Local time: mean|QC flag: missing|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	21	00	00	24	-999	|	orig=Fine, but cool mno|Local time: mean|QC flag: missing|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	22	00	00	24	-888	|	orig=Prospect of rain in [illegible] but clear at [illegible] mno|Local time: mean|QC flag: illegible|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	23	00	00	24	-888	|	orig=Frost this morning – potato [illegible] mno|Local time: mean|QC flag: illegible|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	24	00	00	24	-999	|	orig=A fine day – very clear and yet wind N.E. not a cloud mno|Local time: mean|QC flag: missing|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	25	00	00	24	-999	|	orig=Remarkably clear, and yet a gentle breeze from N.E. most of the day mno|Local time: mean|QC flag: missing|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	26	00	00	24	-999	|	orig=Delightful weather – clear – full moon + fine evening mno|Local time: mean|QC flag: missing|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	27	00	00	24	-888	|	orig=Smoky – prospect of [illegible] mno|Local time: mean|QC flag: illegible|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	28	00	00	24	RA	|	orig=Appearance of showers all day – a little rain about 6 P.M. - near an inch during that day mno|Local time: mean|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	30	00	00	24	-999	|	orig=Delightful Weather mno|Local time: mean|QC flag: missing|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	10	01	00	00	24	-999	|	orig=Fine weather – maybe some appearance of storm mno|Local time: mean|QC flag: missing|Image File: Wolfville_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	02	00	00	24	-999	|	orig=Signs of storm during the day – mostly clear at 9 P.M. mno|Local time: mean|QC flag: missing|Image File: Wolfville_USSI-101_M1958_1855-10-01_OBS-F.jpg
