SEF	1.0.0
ID	WolfvilleCanada
Name	Wolfville
Lat	45.08
Lon	295.65
Alt	198
Source	ODR
Link	https://opendatarescue.org
Vbl	nl
Stat	point
Unit	okta
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1855	09	01	11	00	0	2.40	|	orig=3 okta|Local time: 0700|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	01	18	00	0	8.00	|	orig=10 okta|Local time: 1400|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	02	01	00	0	8.00	|	orig=10 okta|Local time: 2100|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	02	11	00	0	8.00	|	orig=10 okta|Local time: 0700|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	02	18	00	0	7.20	|	orig=9 okta|Local time: 1400|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	03	01	00	0	8.00	|	orig=10 okta|Local time: 2100|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	03	11	00	0	4.00	|	orig=5 okta|Local time: 0700|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	03	18	00	0	5.60	|	orig=7 okta|Local time: 1400|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	04	01	00	0	6.40	|	orig=8 okta|Local time: 2100|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	04	11	00	0	-888	|	orig=Illegible okta|Local time: 0700|QC flag: illegible|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	04	18	00	0	0.80	|	orig=1 okta|Local time: 1400|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	05	01	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	05	11	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	05	18	00	0	0.80	|	orig=1 okta|Local time: 1400|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	06	01	00	0	4.80	|	orig=6 okta|Local time: 2100|QC flag: passed|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
