SEF	1.0.0
ID	WolfvilleCanada
Name	Wolfville
Lat	45.08
Lon	295.65
Alt	198
Source	ODR
Link	https://opendatarescue.org
Vbl	hd
Stat	point
Unit	deg
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1856	09	02	11	00	0	270	|	orig=West dir|Local time: 0700|QC flag: passed|Image File: Wolfville_USSI-201_M1958_1856-09-01_OBS-F.jpg
1856	09	02	18	00	0	270	|	orig=West dir|Local time: 1400|QC flag: passed|Image File: Wolfville_USSI-201_M1958_1856-09-01_OBS-F.jpg
1856	09	03	01	00	0	270	|	orig=West dir|Local time: 2100|QC flag: passed|Image File: Wolfville_USSI-201_M1958_1856-09-01_OBS-F.jpg
1856	09	03	11	00	0	225	|	orig=South-West dir|Local time: 0700|QC flag: passed|Image File: Wolfville_USSI-201_M1958_1856-09-01_OBS-F.jpg
1856	09	03	18	00	0	270	|	orig=West dir|Local time: 1400|QC flag: passed|Image File: Wolfville_USSI-201_M1958_1856-09-01_OBS-F.jpg
1856	09	04	01	00	0	Calm	|	orig=0 dir|Local time: 2100|QC flag: passed|Image File: Wolfville_USSI-201_M1958_1856-09-01_OBS-F.jpg
1856	09	04	11	00	0	Calm	|	orig=0 dir|Local time: 0700|QC flag: passed|Image File: Wolfville_USSI-201_M1958_1856-09-01_OBS-F.jpg
1856	09	04	18	00	0	Calm	|	orig=0 dir|Local time: 1400|QC flag: passed|Image File: Wolfville_USSI-201_M1958_1856-09-01_OBS-F.jpg
1856	09	05	01	00	0	Calm	|	orig=0 dir|Local time: 2100|QC flag: passed|Image File: Wolfville_USSI-201_M1958_1856-09-01_OBS-F.jpg
1856	09	05	11	00	0	315	|	orig=North-West dir|Local time: 0700|QC flag: passed|Image File: Wolfville_USSI-201_M1958_1856-09-01_OBS-F.jpg
1856	09	05	18	00	0	315	|	orig=North-West dir|Local time: 1400|QC flag: passed|Image File: Wolfville_USSI-201_M1958_1856-09-01_OBS-F.jpg
1856	09	06	01	00	0	Calm	|	orig=0 dir|Local time: 2100|QC flag: passed|Image File: Wolfville_USSI-201_M1958_1856-09-01_OBS-F.jpg
1856	09	06	11	00	0	315	|	orig=North-West dir|Local time: 0700|QC flag: passed|Image File: Wolfville_USSI-201_M1958_1856-09-01_OBS-F.jpg
1856	09	06	18	00	0	270	|	orig=West dir|Local time: 1400|QC flag: passed|Image File: Wolfville_USSI-201_M1958_1856-09-01_OBS-F.jpg
1856	09	07	01	00	0	270	|	orig=West dir|Local time: 2100|QC flag: passed|Image File: Wolfville_USSI-201_M1958_1856-09-01_OBS-F.jpg
1856	09	07	11	00	0	45	|	orig=North-East dir|Local time: 0700|QC flag: passed|Image File: Wolfville_USSI-201_M1958_1856-09-01_OBS-F.jpg
1856	09	07	18	00	0	45	|	orig=North-East dir|Local time: 1400|QC flag: passed|Image File: Wolfville_USSI-201_M1958_1856-09-01_OBS-F.jpg
1856	09	08	01	00	0	45	|	orig=North-East dir|Local time: 2100|QC flag: passed|Image File: Wolfville_USSI-201_M1958_1856-09-01_OBS-F.jpg
1856	09	08	11	00	0	-999	|	orig=South-East North-West dir|Local time: 0700|QC flag: missing|Image File: Wolfville_USSI-201_M1958_1856-09-01_OBS-F.jpg
