SEF	1.0.0
ID	RedRiverCanada
Name	RedRiverSettlement
Lat	50.1
Lon	263.0
Alt	199.03
Source	ACRE-Canada
Link	https://opendatarescue.org
Vbl	skc
Stat	point
Unit	tenths
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1844	03	01	06	00	0	8.00	|	orig=10 tenths|Local time: sunrise|QC flag: None|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	01	09	00	0	7.20	|	orig=9 tenths|Local time: 0900|QC flag: None|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	01	15	00	0	0.80	|	orig=1 tenths|Local time: 1500|QC flag: None|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	01	21	00	0	0.00	|	orig=0 tenths|Local time: 2100|QC flag: None|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	02	06	00	0	8.00	|	orig=10 tenths|Local time: sunrise|QC flag: None|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	02	09	00	0	8.00	|	orig=10 tenths|Local time: 0900|QC flag: None|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	02	15	00	0	7.20	|	orig=9 tenths|Local time: 1500|QC flag: None|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	02	21	00	0	0.00	|	orig=0 tenths|Local time: 2100|QC flag: None|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	03	06	00	0	0.00	|	orig=0 tenths|Local time: sunrise|QC flag: None|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	03	09	00	0	0.00	|	orig=0 tenths|Local time: 0900|QC flag: None|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	03	15	00	0	5.60	|	orig=7 tenths|Local time: 1500|QC flag: None|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	03	21	00	0	8.00	|	orig=10 tenths|Local time: 2100|QC flag: None|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	04	06	00	0	0.00	|	orig=0 tenths|Local time: sunrise|QC flag: None|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
