SEF	1.0.0
ID	RedRiverCanada
Name	RedRiverSettlement
Lat	50.1
Lon	263.0
Alt	199.03
Source	ACRE-Canada
Link	https://opendatarescue.org
Vbl	rr
Stat	point
Unit	mm
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1844	03	02	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	03	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	04	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	05	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	06	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	07	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	08	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	09	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	10	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	11	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	12	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	13	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	14	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	15	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	16	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	17	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	18	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	19	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
1844	03	20	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: RedRiverSettlement_USSG-130_M1958_1844-03-01_OBS-F.jpg
