SEF	1.0.0
ID	RedRiverCanada
Name	RedRiverSettlement
Lat	50.1
Lon	263.0
Alt	199.03
Source	ACRE-Canada
Link	https://opendatarescue.org
Vbl	dd
Stat	point
Unit	deg
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1855	06	01	07	00	0	45	|	orig=North-East dir|Local time: 0700|QC flag: None|Image File: RedRiverSettlement_USSI-101_M1958_1855-06-01_OBS-F.jpg
1855	06	01	14	00	0	45	|	orig=North-East dir|Local time: 1400|QC flag: None|Image File: RedRiverSettlement_USSI-101_M1958_1855-06-01_OBS-F.jpg
1855	06	01	21	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: RedRiverSettlement_USSI-101_M1958_1855-06-01_OBS-F.jpg
1855	06	02	07	00	0	45	|	orig=North-East dir|Local time: 0700|QC flag: None|Image File: RedRiverSettlement_USSI-101_M1958_1855-06-01_OBS-F.jpg
1855	06	02	14	00	0	45	|	orig=North-East dir|Local time: 1400|QC flag: None|Image File: RedRiverSettlement_USSI-101_M1958_1855-06-01_OBS-F.jpg
1855	06	02	21	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: RedRiverSettlement_USSI-101_M1958_1855-06-01_OBS-F.jpg
1855	06	03	07	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: RedRiverSettlement_USSI-101_M1958_1855-06-01_OBS-F.jpg
1855	06	03	14	00	0	-999	|	orig=Empty dir|Local time: 1400|QC flag: missing|Image File: RedRiverSettlement_USSI-101_M1958_1855-06-01_OBS-F.jpg
1855	06	03	21	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: RedRiverSettlement_USSI-101_M1958_1855-06-01_OBS-F.jpg
1855	06	04	07	00	0	180	|	orig=South dir|Local time: 0700|QC flag: None|Image File: RedRiverSettlement_USSI-101_M1958_1855-06-01_OBS-F.jpg
1855	06	04	14	00	0	180	|	orig=South dir|Local time: 1400|QC flag: None|Image File: RedRiverSettlement_USSI-101_M1958_1855-06-01_OBS-F.jpg
1855	06	04	21	00	0	45	|	orig=North-East dir|Local time: 2100|QC flag: None|Image File: RedRiverSettlement_USSI-101_M1958_1855-06-01_OBS-F.jpg
1855	06	05	07	00	0	90	|	orig=East dir|Local time: 0700|QC flag: None|Image File: RedRiverSettlement_USSI-101_M1958_1855-06-01_OBS-F.jpg
1855	06	05	14	00	0	225	|	orig=South-West dir|Local time: 1400|QC flag: None|Image File: RedRiverSettlement_USSI-101_M1958_1855-06-01_OBS-F.jpg
