SEF	1.0.0
ID	YorkFactoryCanada
Name	YorkFactory
Lat	57.03
Lon	267.5
Alt	16.75
Source	ACRE-Canada
Link	https://opendatarescue.org
Vbl	sd
Stat	point
Unit	mm
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1874	10	01	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	02	00	00	24	2.54	|	orig=.10 in|Local time: daily|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	03	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	04	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	05	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	06	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	07	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	08	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	09	00	00	24	-999	|	orig=R .10 in|Local time: daily|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	10	00	00	24	127.00	|	orig=5.00 in|Local time: daily|QC flag: high value|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	11	00	00	24	25.40	|	orig=1.00 in|Local time: daily|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	13	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	16	00	00	24	101.60	|	orig=4.00 in|Local time: daily|QC flag: high value|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	25	00	00	24	63.50	|	orig=2.50 in|Local time: daily|QC flag: high value|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	29	00	00	24	5.08	|	orig=.20 in|Local time: daily|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	31	00	00	24	43.18	|	orig=1.70 in|Local time: daily|QC flag: high value|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	11	02	00	00	24	38.10	|	orig=1.5 in|Local time: daily|QC flag: high value|Image File: YorkFactory_USSS-412_M1958_1874-11-01_OBS-L.jpg
1874	11	06	00	00	24	17.78	|	orig=.70 in|Local time: daily|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-11-01_OBS-L.jpg
1874	11	07	00	00	24	76.20	|	orig=3.00 in|Local time: daily|QC flag: high value|Image File: YorkFactory_USSS-412_M1958_1874-11-01_OBS-L.jpg
1874	11	08	00	00	24	27.94	|	orig=1.10 in|Local time: daily|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-11-01_OBS-L.jpg
1874	11	09	00	00	24	2.54	|	orig=.1 in|Local time: daily|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-11-01_OBS-L.jpg
1874	11	10	00	00	24	7.62	|	orig=.3 in|Local time: daily|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-11-01_OBS-L.jpg
