SEF	1.0.0
ID	YorkFactoryCanada
Name	YorkFactory
Lat	57.03
Lon	267.5
Alt	16.75
Source	ACRE-Canada
Link	https://opendatarescue.org
Vbl	w
Stat	point
Unit	mps
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1874	10	01	07	00	0	11	|	orig=4 Sm|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	01	14	00	0	16	|	orig=5 Sm|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	01	21	00	0	5	|	orig=3 Sm|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	02	07	00	0	11	|	orig=4 Sm|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	02	14	00	0	5	|	orig=3 Sm|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	02	21	00	0	1	|	orig=1 Sm|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	03	07	00	0	2	|	orig=2 Sm|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	03	14	00	0	5	|	orig=3 Sm|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	03	21	00	0	2	|	orig=2 Sm|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	04	07	00	0	2	|	orig=2 Sm|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	04	14	00	0	5	|	orig=3 Sm|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	04	21	00	0	11	|	orig=4 Sm|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	05	07	00	0	2	|	orig=2 Sm|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	05	14	00	0	1	|	orig=1 Sm|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	05	21	00	0	2	|	orig=2 Sm|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	06	07	00	0	2	|	orig=2 Sm|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	06	14	00	0	2	|	orig=2 Sm|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	06	21	00	0	2	|	orig=2 Sm|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	07	07	00	0	5	|	orig=3 Sm|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	07	14	00	0	2	|	orig=2 Sm|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	07	21	00	0	2	|	orig=2 Sm|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	08	07	00	0	5	|	orig=3 Sm|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	08	14	00	0	2	|	orig=2 Sm|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	08	21	00	0	2	|	orig=2 Sm|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	09	07	00	0	11	|	orig=4 Sm|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	09	14	00	0	2	|	orig=2 Sm|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	09	21	00	0	11	|	orig=4 Sm|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	10	07	00	0	16	|	orig=5 Sm|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	10	14	00	0	20	|	orig=6 Sm|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	10	21	00	0	11	|	orig=4 Sm|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	11	07	00	0	5	|	orig=3 Sm|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	11	14	00	0	2	|	orig=2 Sm|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	11	21	00	0	2	|	orig=2 Sm|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	12	07	00	0	2	|	orig=2 Sm|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	12	14	00	0	5	|	orig=3 Sm|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	12	21	00	0	5	|	orig=3 Sm|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	13	07	00	0	5	|	orig=3 Sm|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	13	14	00	0	5	|	orig=3 Sm|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	13	21	00	0	0	|	orig=0 Sm|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
1874	10	14	07	00	0	11	|	orig=4 Sm|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1874-10-01_OBS-L.jpg
