SEF	1.0.0
ID	YorkFactoryCanada
Name	YorkFactory
Lat	57.03
Lon	267.5
Alt	16.75
Source	ACRE-Canada
Link	https://opendatarescue.org
Vbl	hv
Stat	point
Unit	0-10
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1875	02	05	07	00	0	haze	|	orig=haze cloudvel|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-02-01_OBS-L.jpg
1875	02	06	14	00	0	-999	|	orig=Empty cloudvel|Local time: 1400|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-02-01_OBS-L.jpg
1875	02	10	21	00	0	haze	|	orig=haze cloudvel|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-02-01_OBS-L.jpg
1875	02	16	07	00	0	-999	|	orig=Retracted cloudvel|Local time: 0700|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-02-01_OBS-L.jpg
1875	03	02	14	00	0	-999	|	orig=Empty cloudvel|Local time: 1400|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-03-01_OBS-L.jpg
1875	03	23	21	00	0	-999	|	orig=Retracted cloudvel|Local time: 2100|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-03-01_OBS-L.jpg
1875	04	03	14	00	0	0	|	orig=0 cloudvel|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-04-01_OBS-L.jpg
1875	04	03	21	00	0	0	|	orig=0 cloudvel|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-04-01_OBS-L.jpg
1875	04	04	07	00	0	0	|	orig=0 cloudvel|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-04-01_OBS-L.jpg
1875	04	04	14	00	0	0	|	orig=0 cloudvel|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-04-01_OBS-L.jpg
1875	04	04	21	00	0	0	|	orig=0 cloudvel|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-04-01_OBS-L.jpg
1875	04	05	21	00	0	0	|	orig=0 cloudvel|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-04-01_OBS-L.jpg
1875	04	15	07	00	0	0	|	orig=0 cloudvel|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-04-01_OBS-L.jpg
1875	04	15	21	00	0	0	|	orig=0 cloudvel|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-04-01_OBS-L.jpg
1875	04	16	07	00	0	0	|	orig=0 cloudvel|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-04-01_OBS-L.jpg
1875	04	16	14	00	0	0	|	orig=0 cloudvel|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-04-01_OBS-L.jpg
1875	04	16	21	00	0	0	|	orig=0 cloudvel|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-04-01_OBS-L.jpg
1875	04	18	21	00	0	0	|	orig=0 cloudvel|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-04-01_OBS-L.jpg
1875	04	19	07	00	0	0	|	orig=0 cloudvel|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-04-01_OBS-L.jpg
1875	04	19	14	00	0	0	|	orig=0 cloudvel|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-04-01_OBS-L.jpg
1875	04	19	21	00	0	0	|	orig=0 cloudvel|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-04-01_OBS-L.jpg
1875	04	20	07	00	0	0	|	orig=0 cloudvel|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-04-01_OBS-L.jpg
1875	04	22	21	00	0	0	|	orig=0 cloudvel|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-04-01_OBS-L.jpg
1875	04	23	07	00	0	0	|	orig=0 cloudvel|Local time: 0700|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-04-01_OBS-L.jpg
1875	04	23	14	00	0	0	|	orig=0 cloudvel|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-04-01_OBS-L.jpg
1875	04	23	21	00	0	0	|	orig=0 cloudvel|Local time: 2100|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-04-01_OBS-L.jpg
1875	04	25	14	00	0	0	|	orig=0 cloudvel|Local time: 1400|QC flag: None|Image File: YorkFactory_USSS-412_M1958_1875-04-01_OBS-L.jpg
1875	05	01	07	00	0	-999	|	orig=Empty cloudvel|Local time: 0700|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	01	14	00	0	-999	|	orig=Empty cloudvel|Local time: 1400|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	01	21	00	0	-999	|	orig=Empty cloudvel|Local time: 2100|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	02	07	00	0	-999	|	orig=Empty cloudvel|Local time: 0700|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	02	14	00	0	-999	|	orig=Empty cloudvel|Local time: 1400|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	02	21	00	0	-999	|	orig=Empty cloudvel|Local time: 2100|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	03	07	00	0	-999	|	orig=Empty cloudvel|Local time: 0700|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	03	14	00	0	-999	|	orig=Empty cloudvel|Local time: 1400|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	03	21	00	0	-999	|	orig=Empty cloudvel|Local time: 2100|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	04	07	00	0	-999	|	orig=Empty cloudvel|Local time: 0700|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	04	14	00	0	-999	|	orig=Empty cloudvel|Local time: 1400|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	04	21	00	0	-999	|	orig=Empty cloudvel|Local time: 2100|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	05	07	00	0	-999	|	orig=Empty cloudvel|Local time: 0700|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	05	14	00	0	-999	|	orig=Empty cloudvel|Local time: 1400|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	05	21	00	0	-999	|	orig=Empty cloudvel|Local time: 2100|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	06	07	00	0	-999	|	orig=Empty cloudvel|Local time: 0700|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	06	14	00	0	-999	|	orig=Empty cloudvel|Local time: 1400|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	06	21	00	0	-999	|	orig=Empty cloudvel|Local time: 2100|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	07	07	00	0	-999	|	orig=Empty cloudvel|Local time: 0700|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	07	14	00	0	-999	|	orig=Empty cloudvel|Local time: 1400|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	07	21	00	0	-999	|	orig=Empty cloudvel|Local time: 2100|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	08	07	00	0	-999	|	orig=Empty cloudvel|Local time: 0700|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	08	14	00	0	-999	|	orig=Empty cloudvel|Local time: 1400|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	08	21	00	0	-999	|	orig=Empty cloudvel|Local time: 2100|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	09	07	00	0	-999	|	orig=Empty cloudvel|Local time: 0700|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	09	14	00	0	-999	|	orig=Empty cloudvel|Local time: 1400|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	09	21	00	0	-999	|	orig=Empty cloudvel|Local time: 2100|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	10	07	00	0	-999	|	orig=Empty cloudvel|Local time: 0700|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	10	14	00	0	-999	|	orig=Empty cloudvel|Local time: 1400|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	10	21	00	0	-999	|	orig=Empty cloudvel|Local time: 2100|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	11	07	00	0	-999	|	orig=Empty cloudvel|Local time: 0700|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	11	14	00	0	-999	|	orig=Empty cloudvel|Local time: 1400|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	11	21	00	0	-999	|	orig=Empty cloudvel|Local time: 2100|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	12	07	00	0	-999	|	orig=Empty cloudvel|Local time: 0700|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	12	14	00	0	-999	|	orig=Empty cloudvel|Local time: 1400|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	12	21	00	0	-999	|	orig=Empty cloudvel|Local time: 2100|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	13	07	00	0	-999	|	orig=Empty cloudvel|Local time: 0700|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	13	14	00	0	-999	|	orig=Empty cloudvel|Local time: 1400|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	13	21	00	0	-999	|	orig=Empty cloudvel|Local time: 2100|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	14	07	00	0	-999	|	orig=Empty cloudvel|Local time: 0700|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	14	14	00	0	-999	|	orig=Empty cloudvel|Local time: 1400|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
1875	05	14	21	00	0	-999	|	orig=Empty cloudvel|Local time: 2100|QC flag: missing|Image File: YorkFactory_USSS-412_M1958_1875-05-01_OBS-L.jpg
