SEF	1.0.0
ID	AlbionMinesCanada
Name	AlbionMines
Lat	45.575
Lon	297.35
Alt	36.576
Source	ODR
Link	https://opendatarescue.org
Vbl	ww
Stat	point
Unit	manual observation
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1843	01	01	09	00	0	SKC	|	orig=Very fine mno|Local time: 0900|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	01	15	00	0	SKC	|	orig=Very fine mno|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	01	21	00	0	-999	|	orig=Empty mno|Local time: 2100|QC flag: missing|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	02	06	00	0	-999	|	orig=Empty mno|Local time: 0600|QC flag: missing|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	02	09	00	0	SKC	|	orig=Very fine mno|Local time: 0900|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	02	15	00	0	SKC	|	orig=Very fine mno|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	02	21	00	0	-999	|	orig=Empty mno|Local time: 2100|QC flag: missing|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	03	00	00	24	LT	|	orig=lightning at night mno|Local time: daily|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	03	06	00	0	-999	|	orig=Empty mno|Local time: 0600|QC flag: missing|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	03	09	00	0	SN	|	orig=Snow mno|Local time: 0900|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	03	15	00	0	SKC	|	orig=fine mno|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	03	21	00	0	SKC	|	orig=Fine mno|Local time: 2100|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	04	06	00	0	-999	|	orig=Empty mno|Local time: 0600|QC flag: missing|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	04	09	00	0	RA	|	orig=Rain mno|Local time: 0900|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	04	15	00	0	SKC	|	orig=fine mno|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	04	21	00	0	SKC	|	orig=Fine mno|Local time: 2100|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	05	06	00	0	-999	|	orig=Empty mno|Local time: 0600|QC flag: missing|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	05	09	00	0	SN	|	orig=Snow mno|Local time: 0900|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	05	15	00	0	SKC	|	orig=fine mno|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	05	21	00	0	SKC	|	orig=Fine mno|Local time: 2100|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	06	06	00	0	-999	|	orig=Empty mno|Local time: 0600|QC flag: missing|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	06	09	00	0	RA	|	orig=rain mno|Local time: 0900|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	06	15	00	0	RA	|	orig=Rain mno|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	06	21	00	0	-999	|	orig=Empty mno|Local time: 2100|QC flag: missing|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	07	06	00	0	-999	|	orig=Empty mno|Local time: 0600|QC flag: missing|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	07	09	00	0	FG	|	orig=Fog mno|Local time: 0900|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	07	15	00	0	FG	|	orig=Fog mno|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	07	21	00	0	-999	|	orig=Empty mno|Local time: 2100|QC flag: missing|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	08	06	00	0	-999	|	orig=Empty mno|Local time: 0600|QC flag: missing|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	08	09	00	0	SKC	|	orig=Fine mno|Local time: 0900|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	08	15	00	0	SKC	|	orig=Fine mno|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	08	21	00	0	-999	|	orig=Empty mno|Local time: 2100|QC flag: missing|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	09	06	00	0	-999	|	orig=Empty mno|Local time: 0600|QC flag: missing|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	09	09	00	0	SKC	|	orig=Very fine mno|Local time: 0900|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	09	15	00	0	SKC	|	orig=Very fine mno|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	09	21	00	0	-999	|	orig=Empty mno|Local time: 2100|QC flag: missing|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	10	06	00	0	-999	|	orig=Empty mno|Local time: 0600|QC flag: missing|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	10	09	00	0	SKC	|	orig=Very fine mno|Local time: 0900|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	10	15	00	0	SKC	|	orig=Very fine mno|Local time: 1500|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
1843	01	10	21	00	0	-999	|	orig=Empty mno|Local time: 2100|QC flag: missing|Image File: AlbionMines_USSG-130_M1958_1843-01-01_OBS-F.jpg
