SEF	1.0.0
ID	AlbionMinesCanada
Name	AlbionMines
Lat	45.575
Lon	297.35
Alt	36.576
Source	ODR
Link	https://opendatarescue.org
Vbl	rr
Stat	point
Unit	mm
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1843	06	02	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	03	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	04	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	05	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	06	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	07	00	00	0	4.06	|	orig=0.160 in|Local time: 2400|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	08	00	00	0	5.08	|	orig=0.200 in|Local time: 2400|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	09	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	10	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	11	00	00	0	0.08	|	orig=0.003 in|Local time: 2400|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	12	00	00	0	1.90	|	orig=0.075 in|Local time: 2400|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	13	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	14	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	15	00	00	0	0.51	|	orig=0.020 in|Local time: 2400|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	16	00	00	0	3.56	|	orig=0.140 in|Local time: 2400|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	17	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	18	00	00	0	12.70	|	orig=0.500 in|Local time: 2400|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	19	00	00	0	2.03	|	orig=0.080 in|Local time: 2400|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	20	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	21	00	00	0	0.13	|	orig=0.005 in|Local time: 2400|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	22	00	00	0	0.13	|	orig=0.005 in|Local time: 2400|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	23	00	00	0	4.06	|	orig=0.160 in|Local time: 2400|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	24	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	25	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	26	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	27	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	28	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	29	00	00	0	1.52	|	orig=0.060 in|Local time: 2400|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	06	30	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	07	01	00	00	0	0.00	|	orig=Empty in|Local time: 2400|QC flag: empty|Image File: AlbionMines_USSG-130_M1958_1843-06-01_OBS-F.jpg
1843	07	04	00	00	0	8.25	|	orig=0.325 in|Local time: 2400|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-07-01_OBS-F.jpg
1843	07	06	00	00	0	3.17	|	orig=0.125 in|Local time: 2400|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-07-01_OBS-F.jpg
1843	07	07	00	00	0	0.13	|	orig=0.005 in|Local time: 2400|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-07-01_OBS-F.jpg
1843	07	09	00	00	0	1.65	|	orig=0.065 in|Local time: 2400|QC flag: None|Image File: AlbionMines_USSG-130_M1958_1843-07-01_OBS-F.jpg
