SEF	1.0.0
ID	FortAndersonCanada
Name	FortAnderson
Lat	68.5
Lon	231.5
Alt	unknown
Source	ODR
Link	https://opendatarescue.org
Vbl	cd
Stat	point
Unit	deg
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1863	06	01	07	00	0	180	|	orig=South dir|Local time: 0700|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	02	07	00	0	135	|	orig=South-East dir|Local time: 0700|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	02	14	00	0	180	|	orig=South dir|Local time: 1400|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	03	07	00	0	0	|	orig=North dir|Local time: 0700|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	03	14	00	0	90	|	orig=East dir|Local time: 1400|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	05	07	00	0	45	|	orig=North-East dir|Local time: 0700|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	05	14	00	0	45	|	orig=North-East dir|Local time: 1400|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	07	07	00	0	270	|	orig=West dir|Local time: 0700|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	07	14	00	0	90	|	orig=East dir|Local time: 1400|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	08	07	00	0	90	|	orig=East dir|Local time: 0700|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	08	14	00	0	270	|	orig=West dir|Local time: 1400|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	09	14	00	0	270	|	orig=West dir|Local time: 1400|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	13	07	00	0	270	|	orig=West dir|Local time: 0700|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	13	14	00	0	180	|	orig=South dir|Local time: 1400|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	15	07	00	0	180	|	orig=South dir|Local time: 0700|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	15	14	00	0	180	|	orig=South dir|Local time: 1400|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	16	14	00	0	180	|	orig=South dir|Local time: 1400|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	20	07	00	0	180	|	orig=South dir|Local time: 0700|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	22	14	00	0	270	|	orig=West dir|Local time: 1400|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	23	07	00	0	270	|	orig=West dir|Local time: 0700|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	24	14	00	0	180	|	orig=South dir|Local time: 1400|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	27	07	00	0	180	|	orig=South dir|Local time: 0700|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	27	14	00	0	225	|	orig=South-West dir|Local time: 1400|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	28	07	00	0	90	|	orig=East dir|Local time: 0700|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	28	14	00	0	90	|	orig=East dir|Local time: 1400|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	06	30	07	00	0	0	|	orig=North dir|Local time: 0700|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-06-01_OBS-L.jpg
1863	07	01	07	00	0	180	|	orig=South dir|Local time: 0700|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	01	14	00	0	90	|	orig=East dir|Local time: 1400|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	02	07	00	0	90	|	orig=East dir|Local time: 0700|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	02	14	00	0	45	|	orig=North-East dir|Local time: 1400|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	03	07	00	0	45	|	orig=North-East dir|Local time: 0700|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	03	14	00	0	90	|	orig=East dir|Local time: 1400|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	04	07	00	0	225	|	orig=South-West dir|Local time: 0700|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	04	14	00	0	225	|	orig=South-West dir|Local time: 1400|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	05	07	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	05	14	00	0	-999	|	orig=Empty dir|Local time: 1400|QC flag: missing|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	06	07	00	0	180	|	orig=South dir|Local time: 0700|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	06	14	00	0	180	|	orig=South dir|Local time: 1400|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	07	07	00	0	180	|	orig=South dir|Local time: 0700|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
1863	07	07	14	00	0	180	|	orig=South dir|Local time: 1400|QC flag: None|Image File: FortAnderson_USSI-401_M1958_1863-07-01_OBS-L.jpg
