SEF	1.0.0
ID	FortPeelRiverCanada
Name	FortPeelRiver
Lat	67.43
Lon	225
Alt	32
Source	ODR
Link	https://opendatarescue.org
Vbl	hd
Stat	point
Unit	deg
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1863	04	09	07	00	0	225	|	orig=South-West dir|Local time: 0700|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-04-01_OBS-F.jpg
1863	04	11	14	00	0	-999	|	orig=Empty dir|Local time: 1400|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-04-01_OBS-F.jpg
1863	04	12	14	00	0	-999	|	orig=Empty dir|Local time: 1400|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-04-01_OBS-F.jpg
1863	04	16	07	00	0	90	|	orig=East dir|Local time: 0700|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-04-01_OBS-F.jpg
1863	04	17	07	00	0	270	|	orig=West dir|Local time: 0700|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-04-01_OBS-F.jpg
1863	04	17	14	00	0	0	|	orig=North dir|Local time: 1400|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-04-01_OBS-F.jpg
1863	04	22	21	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-04-01_OBS-F.jpg
1863	04	27	21	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-04-01_OBS-F.jpg
1863	04	29	14	00	0	0	|	orig=North dir|Local time: 1400|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-04-01_OBS-F.jpg
1863	05	01	07	00	0	180	|	orig=South dir|Local time: 0700|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	01	14	00	0	180	|	orig=South dir|Local time: 1400|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	01	21	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	02	07	00	0	180	|	orig=South dir|Local time: 0700|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	02	14	00	0	180	|	orig=South dir|Local time: 1400|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	02	21	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	03	07	00	0	180	|	orig=South dir|Local time: 0700|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	03	14	00	0	180	|	orig=South dir|Local time: 1400|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	03	21	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	04	07	00	0	180	|	orig=South dir|Local time: 0700|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	04	14	00	0	180	|	orig=South dir|Local time: 1400|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	04	21	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	05	07	00	0	180	|	orig=South dir|Local time: 0700|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	05	14	00	0	180	|	orig=South dir|Local time: 1400|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	05	21	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	06	07	00	0	180	|	orig=South dir|Local time: 0700|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	06	14	00	0	180	|	orig=South dir|Local time: 1400|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	06	21	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	07	07	00	0	180	|	orig=South dir|Local time: 0700|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	07	14	00	0	180	|	orig=South dir|Local time: 1400|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	07	21	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	08	07	00	0	180	|	orig=South dir|Local time: 0700|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	08	14	00	0	180	|	orig=South dir|Local time: 1400|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	08	21	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	09	07	00	0	180	|	orig=South dir|Local time: 0700|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	09	14	00	0	180	|	orig=South dir|Local time: 1400|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	09	21	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	10	07	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	10	14	00	0	-999	|	orig=Empty dir|Local time: 1400|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	10	21	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	11	07	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	11	14	00	0	-999	|	orig=Empty dir|Local time: 1400|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	11	21	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	12	07	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	12	14	00	0	-999	|	orig=Empty dir|Local time: 1400|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	12	21	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	13	07	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	13	14	00	0	-999	|	orig=Empty dir|Local time: 1400|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	13	21	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	14	07	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	14	14	00	0	-999	|	orig=Empty dir|Local time: 1400|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	14	21	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	15	07	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	15	14	00	0	-999	|	orig=Empty dir|Local time: 1400|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	15	21	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	16	07	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	16	14	00	0	-999	|	orig=Empty dir|Local time: 1400|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	16	21	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	17	07	00	0	180	|	orig=South dir|Local time: 0700|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	17	14	00	0	180	|	orig=South dir|Local time: 1400|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	17	21	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	18	07	00	0	180	|	orig=South dir|Local time: 0700|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	18	14	00	0	180	|	orig=South dir|Local time: 1400|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	18	21	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	19	07	00	0	180	|	orig=South dir|Local time: 0700|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	19	14	00	0	180	|	orig=South dir|Local time: 1400|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	19	21	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	20	07	00	0	180	|	orig=South dir|Local time: 0700|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	20	14	00	0	180	|	orig=South dir|Local time: 1400|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	20	21	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	21	07	00	0	180	|	orig=South dir|Local time: 0700|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	21	14	00	0	180	|	orig=South dir|Local time: 1400|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
1863	05	21	21	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: FortPeelRiver_USSI-206_M1958_1863-05-01_OBS-F.jpg
