SEF	1.0.0
ID	FortSimpsonCanada
Name	FortSimpson
Lat	61.85
Lon	238.58
Alt	90
Source	ODR
Link	https://opendatarescue.org
Vbl	hd
Stat	point
Unit	deg
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1859	09	01	14	00	0	90	|	orig=East dir|Local time: 1400|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-R.jpg
1859	09	03	07	00	0	90	|	orig=East dir|Local time: 0700|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-R.jpg
1859	09	06	07	00	0	-999	|	orig=south north dir|Local time: 0700|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-R.jpg
1859	09	06	14	00	0	90	|	orig=East dir|Local time: 1400|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-R.jpg
1859	09	06	21	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-R.jpg
1859	09	08	14	00	0	135	|	orig=South-East dir|Local time: 1400|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-R.jpg
1859	09	09	07	00	0	67.5	|	orig=East-North-East dir|Local time: 0700|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-R.jpg
1859	09	10	14	00	0	0	|	orig=North dir|Local time: 1400|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-R.jpg
1859	09	11	07	00	0	-999	|	orig=south-east north-west dir|Local time: 0700|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-R.jpg
1859	09	12	07	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-R.jpg
1859	09	13	07	00	0	45	|	orig=North-East dir|Local time: 0700|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-R.jpg
1859	09	16	07	00	0	-999	|	orig=west east dir|Local time: 0700|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1859-09-01_OBS-R.jpg
1859	11	19	07	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1859-11-01_OBS-R.jpg
1859	11	30	07	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1859-11-01_OBS-R.jpg
1859	11	30	14	00	0	-999	|	orig=Empty dir|Local time: 1400|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1859-11-01_OBS-R.jpg
1859	12	20	14	00	0	-999	|	orig=empty dir|Local time: 1400|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1859-12-01_OBS-R.jpg
1860	01	01	21	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1860-01-01_OBS-R.jpg
1860	01	15	07	00	0	157.5	|	orig=South-South-East dir|Local time: 0700|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1860-01-01_OBS-R.jpg
1860	01	15	14	00	0	157.5	|	orig=South-South-East dir|Local time: 1400|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1860-01-01_OBS-R.jpg
1860	01	15	21	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1860-01-01_OBS-R.jpg
1860	01	19	21	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1860-01-01_OBS-R.jpg
1860	02	05	07	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1860-02-01_OBS-R.jpg
1860	02	14	07	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1860-02-01_OBS-R.jpg
1860	02	17	07	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1860-02-01_OBS-R.jpg
1860	02	29	07	00	0	-999	|	orig=Empty dir|Local time: 0700|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1860-02-01_OBS-R.jpg
1860	02	29	14	00	0	-999	|	orig=Empty dir|Local time: 1400|QC flag: missing|Image File: FortSimpson_USSI-201_M1958_1860-02-01_OBS-R.jpg
1860	03	16	07	00	0	315	|	orig=North-West dir|Local time: 0700|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1860-03-01_OBS-R.jpg
1860	03	16	14	00	0	315	|	orig=North-West dir|Local time: 1400|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1860-03-01_OBS-R.jpg
1860	03	19	14	00	0	315	|	orig=North-West dir|Local time: 1400|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1860-03-01_OBS-R.jpg
1860	03	19	21	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1860-03-01_OBS-R.jpg
1860	04	01	07	00	0	270	|	orig=West dir|Local time: 0700|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1860-04-01_OBS-R.jpg
1860	04	01	14	00	0	270	|	orig=West dir|Local time: 1400|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1860-04-01_OBS-R.jpg
1860	04	02	07	00	0	90	|	orig=East dir|Local time: 0700|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1860-04-01_OBS-R.jpg
1860	04	02	14	00	0	90	|	orig=East dir|Local time: 1400|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1860-04-01_OBS-R.jpg
1860	04	03	07	00	0	90	|	orig=East dir|Local time: 0700|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1860-04-01_OBS-R.jpg
1860	04	03	14	00	0	90	|	orig=East dir|Local time: 1400|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1860-04-01_OBS-R.jpg
1860	04	04	14	00	0	0	|	orig=North dir|Local time: 1400|QC flag: None|Image File: FortSimpson_USSI-201_M1958_1860-04-01_OBS-R.jpg
