SEF	1.0.0
ID	HalifaxCitadelHillCanada
Name	HalifaxCH
Lat	44.65
Lon	296.39
Alt	51.5
Source	ODR
Link	https://opendatarescue.org
Vbl	pr
Stat	point
Unit	mm
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1874	10	01	09	00	0	2.29	|	orig=0.09 in|Local time: 0900|QC flag: None|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	02	09	00	0	-999	|	orig=- in|Local time: 0900|QC flag: missing|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	03	09	00	0	6.10	|	orig=0.24 in|Local time: 0900|QC flag: None|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	04	09	00	0	-999	|	orig=- in|Local time: 0900|QC flag: missing|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	05	09	00	0	-999	|	orig=- in|Local time: 0900|QC flag: missing|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	06	09	00	0	-999	|	orig=- in|Local time: 0900|QC flag: missing|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	07	09	00	0	-999	|	orig=- in|Local time: 0900|QC flag: missing|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	08	09	00	0	-999	|	orig=- in|Local time: 0900|QC flag: missing|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	09	09	00	0	3.30	|	orig=0.13 in|Local time: 0900|QC flag: None|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	10	09	00	0	0.76	|	orig=0.03 in|Local time: 0900|QC flag: None|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	11	09	00	0	9.40	|	orig=0.37 in|Local time: 0900|QC flag: None|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	12	09	00	0	-999	|	orig=- in|Local time: 0900|QC flag: missing|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	13	09	00	0	-999	|	orig=- in|Local time: 0900|QC flag: missing|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	14	09	00	0	13.46	|	orig=0.53 in|Local time: 0900|QC flag: None|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	15	09	00	0	-999	|	orig=- in|Local time: 0900|QC flag: missing|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	16	09	00	0	-999	|	orig=- in|Local time: 0900|QC flag: missing|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	17	09	00	0	-999	|	orig=- in|Local time: 0900|QC flag: missing|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	18	09	00	0	0.76	|	orig=0.03 in|Local time: 0900|QC flag: None|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	19	09	00	0	26.42	|	orig=1.04 in|Local time: 0900|QC flag: None|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	20	09	00	0	-999	|	orig=- in|Local time: 0900|QC flag: missing|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
1874	10	21	09	00	0	-999	|	orig=- in|Local time: 0900|QC flag: missing|Image File: Halifax_WO-848_UKMO_1874-10-01_OBS-F.jpeg
